,female[0-9],male[0-9],female[10-19],male[10-19],female[20-29],male[20-29],female[30-39],male[30-39],female[40-49],male[40-49],female[50-59],male[50-59],female[60-102],male[60-102],population,"1-25,000","25,000-50,000","50,000-75,000","75,000-100,000","100,000-200,000","200,000-...",stadium_count,shoes_count,restaurant_count,gym_count,clothes_count,clinic_count
10026,0.05920065876540305,0.05696556186218863,0.058436020351145486,0.059288886274740465,0.09434461665147192,0.08111049025086021,0.0920212922389201,0.07890480251742493,0.08328676881451637,0.07919889421521631,0.06428844513719378,0.05940652295385701,0.08149280945798901,0.05205423050907273,34003.0,0.40108695652173915,0.23043478260869565,0.13695652173913042,0.0782608695652174,0.1,0.05326086956521739,0.0,0.0,18.0,0.0,0.0,1.0
10027,0.0509655484281575,0.05001088649572077,0.07719362888773511,0.06722829818949203,0.131140402297888,0.10852998810859699,0.07747835262197063,0.06905387977959034,0.0667760899057062,0.061600817324601806,0.055973336459711594,0.050429597869596526,0.08047632605892106,0.053142847572311455,59707.0,0.43547800799709196,0.24027626317702652,0.12686295892402763,0.064340239912759,0.08651399491094147,0.046528535078153396,0.0,2.0,25.0,4.0,5.0,1.0
10030,0.061002259342938625,0.06248379569613689,0.07070632245638728,0.07148412904181636,0.09689247749916663,0.08074373124930553,0.08152153783473462,0.067521019297011,0.08192896033186414,0.07092855290936702,0.06440979295529464,0.057779917774732396,0.07833623467535834,0.054261268935886516,26999.0,0.49239681390296886,0.2657494569152788,0.12816799420709632,0.05286024619840695,0.04779145546705286,0.013034033309196235,0.0,0.0,6.0,1.0,0.0,0.0
10037,0.0491502067064768,0.049265043638033995,0.056212677997243915,0.05764813964170877,0.08520900321543408,0.06809830041341296,0.08147680293982545,0.05644235186035829,0.0819935691318328,0.060231970601745524,0.07659623334864492,0.04983922829581994,0.14980477721635277,0.07803169499310979,17416.0,0.3804247460757156,0.25392428439519854,0.17636195752539244,0.09325946445060018,0.0840258541089566,0.012003693444136657,0.0,0.0,2.0,1.0,0.0,0.0
10039,0.06617197374322176,0.07049374159089983,0.07371468177926367,0.07294002527826476,0.08590532882129898,0.07514168059689322,0.08354058792351286,0.06617197374322176,0.07909650589146655,0.06609043095364292,0.06295103355485791,0.04619399029640804,0.1004607167611204,0.051127329065927346,24527.0,0.49116347569955815,0.26288659793814434,0.12886597938144329,0.05522827687776141,0.050073637702503684,0.011782032400589101,0.0,0.0,0.0,0.0,0.0,0.0
10001,0.023978769784854515,0.027295990901336366,0.05956781347739551,0.0287650459672069,0.15112311629229458,0.10349729883423373,0.07800208511041608,0.09880580039806654,0.05198559378257985,0.08378352762771302,0.053122926736802197,0.06596531134489622,0.0996114112406407,0.07449530850156383,21102.0,0.26275331935709295,0.16981132075471697,0.13487071977638015,0.0936408106219427,0.17330538085255065,0.16561844863731656,2.0,15.0,79.0,6.0,39.0,1.0
10011,0.028714890946179194,0.029675976777028087,0.03028401067001412,0.023850619802290914,0.10950494272713009,0.07671034049898007,0.10236544798368115,0.11558528165699043,0.06523615251843716,0.1038953397144202,0.05741016789581045,0.07504315079240546,0.09655970500549192,0.08516397301114075,50984.0,0.16930693069306932,0.1198019801980198,0.12442244224422443,0.1075907590759076,0.23003300330033002,0.24884488448844885,0.0,3.0,118.0,4.0,26.0,3.0
10018,0.023522662076878944,0.01835915088927137,0.019506597819850834,0.02256645630139606,0.17823675655000956,0.15509657678332378,0.09485561292790208,0.13501625549818322,0.05718110537387646,0.09772423025435073,0.04360298336201951,0.055077452667814115,0.048575253394530504,0.05067890610059285,5229.0,0.22565687789799072,0.16383307573415765,0.12364760432766615,0.09891808346213292,0.18856259659969088,0.19938176197836166,0.0,1.0,52.0,1.0,8.0,0.0
10019,0.02668532773501283,0.026848612083041755,0.018264520643806858,0.017844646606018196,0.12871471891765804,0.10685794261721483,0.10513179379519477,0.12367623046419407,0.0615581992069046,0.07972941450898063,0.055376720317238164,0.059552134359692095,0.10557499416841615,0.08418474457662702,42870.0,0.20160965794768612,0.14808853118712273,0.13601609657947686,0.103420523138833,0.21207243460764588,0.19879275653923542,0.0,2.0,119.0,1.0,20.0,1.0
10020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0
10036,0.020557646392294928,0.023107118287402372,0.018857998462223302,0.017603496418599006,0.13014447007405608,0.1303872769212092,0.08915058071304277,0.13030634130549149,0.05467200841730403,0.09781069159483631,0.054833879648739425,0.07879082190117762,0.07389421715025697,0.07988345271336651,24711.0,0.239142091152815,0.16997319034852548,0.13458445040214478,0.10831099195710456,0.19892761394101877,0.14906166219839143,0.0,3.0,97.0,0.0,17.0,2.0
10029,0.057510887728115995,0.06093180532347407,0.06997092220043946,0.07110245648198098,0.09416733549991448,0.09244371932686868,0.07445758720050524,0.06839203715642804,0.0712998171124824,0.057747720484717706,0.06494480481033643,0.04602449903293291,0.10966672368195993,0.06133968395984369,76003.0,0.4846262341325811,0.2600846262341326,0.1300423131170663,0.051339915373765865,0.04992947813822285,0.023977433004231313,0.0,1.0,37.0,1.0,1.0,2.0
10035,0.05722864965115252,0.06049633489357944,0.06594247696429097,0.072065706968118,0.08345844740793076,0.09005269510435986,0.07459742706585416,0.0765109364420501,0.07006388177455916,0.07656981365362536,0.058671141334746386,0.06087903676881863,0.08916953693073096,0.0642939150401837,33969.0,0.49154746423927176,0.24382314694408322,0.12028608582574772,0.06046814044213264,0.06436931079323797,0.01950585175552666,1.0,1.0,13.0,1.0,0.0,1.0
10010,0.026638185587736382,0.02632405604071119,0.0360934849531947,0.02908839605453289,0.17757743293334172,0.12345291198090093,0.09455299365458315,0.09533831752214614,0.05035496638813847,0.062071998492178176,0.04711943205377898,0.05277376390023246,0.10416535779355406,0.07444870264497079,31834.0,0.15160183066361557,0.13901601830663615,0.14702517162471396,0.11155606407322655,0.22597254004576658,0.2248283752860412,0.0,2.0,55.0,4.0,5.0,6.0
10016,0.024786372109333186,0.024786372109333186,0.01697949541369064,0.012531605854234722,0.20384622483066644,0.14233246590258938,0.0994592399830205,0.10302124282524039,0.05287636343502575,0.05881918682981747,0.05066164664193566,0.0476533229979883,0.09342413672185003,0.06882232434527435,54183.0,0.1532531606537157,0.14739438791242676,0.16096207215541167,0.11964230650632131,0.2223250077089115,0.19642306506321308,0.0,1.0,120.0,1.0,3.0,6.0
10017,0.02196078431372549,0.02358974358974359,0.012428355957767723,0.009894419306184012,0.14093514328808446,0.11064856711915536,0.10829562594268477,0.10256410256410256,0.06739064856711915,0.06105580693815988,0.07294117647058823,0.05405731523378582,0.12446455505279035,0.0897737556561086,16575.0,0.15065146579804561,0.11807817589576547,0.1245928338762215,0.10504885993485343,0.23127035830618892,0.2703583061889251,0.0,7.0,48.0,1.0,18.0,1.0
10022,0.03210750532514722,0.030290690389675478,0.02455832602430773,0.017447688259616588,0.09466232301716578,0.06618844756296204,0.08802155118406214,0.08028442551058765,0.0623042225285052,0.060581380779350956,0.07069916050620223,0.0616150858288435,0.17385039468738253,0.13738879839619095,31924.0,0.14236282748393475,0.10479485912011864,0.12061295106277806,0.10380622837370242,0.22886801779535343,0.2995551161641127,0.0,6.0,50.0,3.0,24.0,3.0
