,lats,longs
0,40.79925,-73.95552
1,40.79934,-73.95581
2,40.79943,-73.95631
3,40.79948,-73.95667
4,40.79952,-73.95738
5,40.79959,-73.95784
6,40.79953,-73.95805
7,40.79945,-73.95818
8,40.79935,-73.95828
9,40.79919,-73.9584
10,40.79902,-73.9585
11,40.79883,-73.95854
12,40.7987,-73.95853
13,40.79846,-73.95832
14,40.79837,-73.95818
15,40.7983,-73.95802
16,40.79816,-73.9575
17,40.79802,-73.95722
18,40.79791,-73.95712
19,40.79766,-73.957
20,40.79753,-73.95699
21,40.7974,-73.957
