"ZIP
code [1]",Size of adjusted gross income,Number of returns
10030,"$50,000 under $75,000",1770
10030,"$75,000 under $100,000",730
10030,"$100,000 under $200,000",660
10030,"$200,000 or more",180
,,
10031,,"29,730"
10031,"$1 under $25,000",14490
10031,"$25,000 under $50,000",7980
10031,"$50,000 under $75,000",3800
10031,"$75,000 under $100,000",1640
10031,"$100,000 under $200,000",1430
10031,"$200,000 or more",390
,,
10032,,"29,970"
10032,"$1 under $25,000",15190
10032,"$25,000 under $50,000",7980
10032,"$50,000 under $75,000",3620
10032,"$75,000 under $100,000",1470
10032,"$100,000 under $200,000",1400
10032,"$200,000 or more",310
,,
10033,,"27,170"
10033,"$1 under $25,000",13370
10033,"$25,000 under $50,000",6500
10033,"$50,000 under $75,000",3240
10033,"$75,000 under $100,000",1530
10033,"$100,000 under $200,000",1910
10033,"$200,000 or more",620
,,
10034,,"20,520"
10034,"$1 under $25,000",9900
10034,"$25,000 under $50,000",4750
10034,"$50,000 under $75,000",2760
10034,"$75,000 under $100,000",1350
10034,"$100,000 under $200,000",1470
10034,"$200,000 or more",290
,,
10035,,"15,380"
10035,"$1 under $25,000",7560
10035,"$25,000 under $50,000",3750
10035,"$50,000 under $75,000",1850
10035,"$75,000 under $100,000",930
10035,"$100,000 under $200,000",990
10035,"$200,000 or more",300
,,
10036,,"18,650"
10036,"$1 under $25,000",4460
10036,"$25,000 under $50,000",3170
10036,"$50,000 under $75,000",2510
10036,"$75,000 under $100,000",2020
10036,"$100,000 under $200,000",3710
10036,"$200,000 or more",2780
,,
10037,,"10,830"
10037,"$1 under $25,000",4120
10037,"$25,000 under $50,000",2750
10037,"$50,000 under $75,000",1910
10037,"$75,000 under $100,000",1010
10037,"$100,000 under $200,000",910
10037,"$200,000 or more",130
,,
10038,,"12,210"
10038,"$1 under $25,000",3490
10038,"$25,000 under $50,000",1950
10038,"$50,000 under $75,000",1660
10038,"$75,000 under $100,000",1120
10038,"$100,000 under $200,000",2210
10038,"$200,000 or more",1780
,,
10039,,"13,580"
10039,"$1 under $25,000",6670
10039,"$25,000 under $50,000",3570
10039,"$50,000 under $75,000",1750
10039,"$75,000 under $100,000",750
10039,"$100,000 under $200,000",680
10039,"$200,000 or more",160
,,
10040,,"21,610"
10040,"$1 under $25,000",10370
10040,"$25,000 under $50,000",5310
10040,"$50,000 under $75,000",2840
10040,"$75,000 under $100,000",1360
10040,"$100,000 under $200,000",1370
10040,"$200,000 or more",360
,,
10044,,"4,310"
10044,"$1 under $25,000",1180
10044,"$25,000 under $50,000",750
10044,"$50,000 under $75,000",620
10044,"$75,000 under $100,000",450
10044,"$100,000 under $200,000",850
10044,"$200,000 or more",460
,,
10065,,"15,930"
10065,"$1 under $25,000",2310
10065,"$25,000 under $50,000",2110
10065,"$50,000 under $75,000",2150
10065,"$75,000 under $100,000",1680
10065,"$100,000 under $200,000",3220
10065,"$200,000 or more",4460
,,
10069,,"2,830"
10069,"$1 under $25,000",370
10069,"$25,000 under $50,000",220
10069,"$50,000 under $75,000",220
10069,"$75,000 under $100,000",180
10069,"$100,000 under $200,000",560
10069,"$200,000 or more",1280
,,
10075,,"14,430"
10075,"$1 under $25,000",2200
10075,"$25,000 under $50,000",1710
10075,"$50,000 under $75,000",2030
10075,"$75,000 under $100,000",1650
10075,"$100,000 under $200,000",3070
10075,"$200,000 or more",3770
,,
10128,,"33,500"
10128,"$1 under $25,000",5910
10128,"$25,000 under $50,000",4750
10128,"$50,000 under $75,000",5000
10128,"$75,000 under $100,000",3690
10128,"$100,000 under $200,000",6410
10128,"$200,000 or more",7740
,,
10162,,750
10162,"$1 under $25,000",100
10162,"$25,000 under $50,000",60
10162,"$50,000 under $75,000",50
10162,"$75,000 under $100,000",60
10162,"$100,000 under $200,000",180
10162,"$200,000 or more",300
,,
10280,,"4,350"
10280,"$1 under $25,000",520
10280,"$25,000 under $50,000",400
10280,"$50,000 under $75,000",430
10280,"$75,000 under $100,000",450
10280,"$100,000 under $200,000",1210
10280,"$200,000 or more",1340
,,
10282,,"2,330"
10282,"$1 under $25,000",220
10282,"$25,000 under $50,000",120
10282,"$50,000 under $75,000",140
10282,"$75,000 under $100,000",110
10282,"$100,000 under $200,000",390
10282,"$200,000 or more",1350
,,
10301,,"18,080"
10301,"$1 under $25,000",6630
10301,"$25,000 under $50,000",3830
10301,"$50,000 under $75,000",2600
10301,"$75,000 under $100,000",1690
10301,"$100,000 under $200,000",2480
10301,"$200,000 or more",850
,,
10302,,"8,070"
10302,"$1 under $25,000",3410
10302,"$25,000 under $50,000",1750
10302,"$50,000 under $75,000",1120
10302,"$75,000 under $100,000",660
10302,"$100,000 under $200,000",990
10302,"$200,000 or more",140
,,
10303,,"12,200"
10303,"$1 under $25,000",5400
10303,"$25,000 under $50,000",2850
10303,"$50,000 under $75,000",1630
10303,"$75,000 under $100,000",1010
10303,"$100,000 under $200,000",1210
10303,"$200,000 or more",100
,,
10304,,"19,500"
10304,"$1 under $25,000",8300
10304,"$25,000 under $50,000",4130
10304,"$50,000 under $75,000",2420
10304,"$75,000 under $100,000",1470
10304,"$100,000 under $200,000",2290
10304,"$200,000 or more",890
,,
10305,,"19,240"
10305,"$1 under $25,000",6770
10305,"$25,000 under $50,000",4020
10305,"$50,000 under $75,000",2820
10305,"$75,000 under $100,000",2030
10305,"$100,000 under $200,000",3010
10305,"$200,000 or more",590
,,
10306,,"26,710"
10306,"$1 under $25,000",8330
10306,"$25,000 under $50,000",5050
10306,"$50,000 under $75,000",3840
10306,"$75,000 under $100,000",2950
10306,"$100,000 under $200,000",5240
10306,"$200,000 or more",1300
,,
10307,,"6,440"
10307,"$1 under $25,000",1880
10307,"$25,000 under $50,000",1020
10307,"$50,000 under $75,000",860
10307,"$75,000 under $100,000",640
10307,"$100,000 under $200,000",1490
10307,"$200,000 or more",550
,,
10308,,"13,570"
10308,"$1 under $25,000",3820
10308,"$25,000 under $50,000",2340
10308,"$50,000 under $75,000",1950
10308,"$75,000 under $100,000",1660
10308,"$100,000 under $200,000",3080
