"ZIP
code [1]",Size of adjusted gross income,Number of returns
11798,"$50,000 under $75,000",1000
11798,"$75,000 under $100,000",510
11798,"$100,000 under $200,000",680
11798,"$200,000 or more",110
,,
11801,,"21,810"
11801,"$1 under $25,000",7080
11801,"$25,000 under $50,000",4480
11801,"$50,000 under $75,000",3030
11801,"$75,000 under $100,000",2230
11801,"$100,000 under $200,000",4140
11801,"$200,000 or more",850
,,
11803,,"14,290"
11803,"$1 under $25,000",3430
11803,"$25,000 under $50,000",1750
11803,"$50,000 under $75,000",1630
11803,"$75,000 under $100,000",1320
11803,"$100,000 under $200,000",3710
11803,"$200,000 or more",2450
,,
11804,,"2,540"
11804,"$1 under $25,000",610
11804,"$25,000 under $50,000",310
11804,"$50,000 under $75,000",290
11804,"$75,000 under $100,000",250
11804,"$100,000 under $200,000",610
11804,"$200,000 or more",470
,,
11901,,"13,000"
11901,"$1 under $25,000",5360
11901,"$25,000 under $50,000",3380
11901,"$50,000 under $75,000",1610
11901,"$75,000 under $100,000",1000
11901,"$100,000 under $200,000",1350
11901,"$200,000 or more",300
,,
11933,,"3,540"
11933,"$1 under $25,000",1180
11933,"$25,000 under $50,000",700
11933,"$50,000 under $75,000",470
11933,"$75,000 under $100,000",370
11933,"$100,000 under $200,000",650
11933,"$200,000 or more",170
,,
11934,,"4,000"
11934,"$1 under $25,000",1200
11934,"$25,000 under $50,000",690
11934,"$50,000 under $75,000",460
11934,"$75,000 under $100,000",400
11934,"$100,000 under $200,000",950
11934,"$200,000 or more",300
,,
11935,,"1,830"
11935,"$1 under $25,000",520
11935,"$25,000 under $50,000",310
11935,"$50,000 under $75,000",250
11935,"$75,000 under $100,000",200
11935,"$100,000 under $200,000",350
11935,"$200,000 or more",200
,,
11937,,"9,100"
11937,"$1 under $25,000",3230
11937,"$25,000 under $50,000",1870
11937,"$50,000 under $75,000",1100
11937,"$75,000 under $100,000",730
11937,"$100,000 under $200,000",1250
11937,"$200,000 or more",920
,,
11939,,540
11939,"$1 under $25,000",160
11939,"$25,000 under $50,000",100
11939,"$50,000 under $75,000",80
11939,"$75,000 under $100,000",50
11939,"$100,000 under $200,000",100
11939,"$200,000 or more",50
,,
11940,,"2,770"
11940,"$1 under $25,000",810
11940,"$25,000 under $50,000",500
11940,"$50,000 under $75,000",330
11940,"$75,000 under $100,000",270
11940,"$100,000 under $200,000",630
11940,"$200,000 or more",230
,,
11941,,"1,370"
11941,"$1 under $25,000",400
11941,"$25,000 under $50,000",240
11941,"$50,000 under $75,000",140
11941,"$75,000 under $100,000",140
11941,"$100,000 under $200,000",340
11941,"$200,000 or more",110
,,
11942,,"2,560"
11942,"$1 under $25,000",790
11942,"$25,000 under $50,000",450
11942,"$50,000 under $75,000",310
11942,"$75,000 under $100,000",280
11942,"$100,000 under $200,000",490
11942,"$200,000 or more",240
,,
11944,,"2,340"
11944,"$1 under $25,000",850
11944,"$25,000 under $50,000",570
11944,"$50,000 under $75,000",260
11944,"$75,000 under $100,000",200
11944,"$100,000 under $200,000",320
11944,"$200,000 or more",140
,,
11946,,"7,640"
11946,"$1 under $25,000",2800
11946,"$25,000 under $50,000",1630
11946,"$50,000 under $75,000",1030
11946,"$75,000 under $100,000",690
11946,"$100,000 under $200,000",1110
11946,"$200,000 or more",380
,,
11948,,640
11948,"$1 under $25,000",190
11948,"$25,000 under $50,000",130
11948,"$50,000 under $75,000",70
11948,"$75,000 under $100,000",60
11948,"$100,000 under $200,000",130
11948,"$200,000 or more",60
,,
11949,,"7,200"
11949,"$1 under $25,000",2150
11949,"$25,000 under $50,000",1210
11949,"$50,000 under $75,000",870
11949,"$75,000 under $100,000",720
11949,"$100,000 under $200,000",1660
11949,"$200,000 or more",590
,,
11950,,"7,670"
11950,"$1 under $25,000",3020
11950,"$25,000 under $50,000",1820
11950,"$50,000 under $75,000",1090
11950,"$75,000 under $100,000",730
11950,"$100,000 under $200,000",930
11950,"$200,000 or more",80
,,
11951,,"6,220"
11951,"$1 under $25,000",2350
11951,"$25,000 under $50,000",1530
11951,"$50,000 under $75,000",950
11951,"$75,000 under $100,000",620
11951,"$100,000 under $200,000",710
11951,"$200,000 or more",60
,,
11952,,"2,630"
11952,"$1 under $25,000",840
11952,"$25,000 under $50,000",470
11952,"$50,000 under $75,000",310
11952,"$75,000 under $100,000",280
11952,"$100,000 under $200,000",510
11952,"$200,000 or more",220
,,
11953,,"6,640"
11953,"$1 under $25,000",2010
11953,"$25,000 under $50,000",1500
11953,"$50,000 under $75,000",1060
11953,"$75,000 under $100,000",780
11953,"$100,000 under $200,000",1120
11953,"$200,000 or more",170
,,
11954,,"2,730"
11954,"$1 under $25,000",980
11954,"$25,000 under $50,000",670
11954,"$50,000 under $75,000",350
11954,"$75,000 under $100,000",200
11954,"$100,000 under $200,000",330
11954,"$200,000 or more",200
,,
11955,,"1,750"
11955,"$1 under $25,000",510
11955,"$25,000 under $50,000",370
11955,"$50,000 under $75,000",310
11955,"$75,000 under $100,000",190
11955,"$100,000 under $200,000",310
11955,"$200,000 or more",60
,,
11957,,440
11957,"$1 under $25,000",120
11957,"$25,000 under $50,000",70
11957,"$50,000 under $75,000",50
11957,"$75,000 under $100,000",40
11957,"$100,000 under $200,000",100
11957,"$200,000 or more",60
,,
11958,,470
11958,"$1 under $25,000",150
11958,"$25,000 under $50,000",100
11958,"$50,000 under $75,000",60
11958,"$75,000 under $100,000",40
11958,"$100,000 under $200,000",80
11958,"$200,000 or more",40
,,
11961,,"6,750"
11961,"$1 under $25,000",2120
11961,"$25,000 under $50,000",1420
11961,"$50,000 under $75,000",1080
11961,"$75,000 under $100,000",780
11961,"$100,000 under $200,000",1180
11961,"$200,000 or more",170
,,
11963,,"4,140"
11963,"$1 under $25,000",1230
11963,"$25,000 under $50,000",810
11963,"$50,000 under $75,000",530
11963,"$75,000 under $100,000",360
11963,"$100,000 under $200,000",690
11963,"$200,000 or more",520
,,
11967,,"12,840"
11967,"$1 under $25,000",4550
11967,"$25,000 under $50,000",2960
11967,"$50,000 under $75,000",1910
11967,"$75,000 under $100,000",1300
11967,"$100,000 under $200,000",1940
11967,"$200,000 or more",180
,,
11968,,"5,350"
11968,"$1 under $25,000",1840
11968,"$25,000 under $50,000",980
11968,"$50,000 under $75,000",680
11968,"$75,000 under $100,000",420
11968,"$100,000 under $200,000",810
11968,"$200,000 or more",620
,,
11971,,"3,100"
11971,"$1 under $25,000",920
11971,"$25,000 under $50,000",560
11971,"$50,000 under $75,000",420
11971,"$75,000 under $100,000",320
11971,"$100,000 under $200,000",610
11971,"$200,000 or more",270
,,
11976,,"1,150"
11976,"$1 under $25,000",290
11976,"$25,000 under $50,000",220
11976,"$50,000 under $75,000",120
11976,"$75,000 under $100,000",80
11976,"$100,000 under $200,000",200
11976,"$200,000 or more",240
,,
11977,,"1,330"
11977,"$1 under $25,000",420
11977,"$25,000 under $50,000",210
11977,"$50,000 under $75,000",140
11977,"$75,000 under $100,000",120
11977,"$100,000 under $200,000",260
11977,"$200,000 or more",180
,,
11978,,"1,930"
11978,"$1 under $25,000",670
11978,"$25,000 under $50,000",360
11978,"$50,000 under $75,000",230
11978,"$75,000 under $100,000",140
11978,"$100,000 under $200,000",310
11978,"$200,000 or more",220
,,
11980,,"2,240"
11980,"$1 under $25,000",580
11980,"$25,000 under $50,000",430
11980,"$50,000 under $75,000",350
11980,"$75,000 under $100,000",300
11980,"$100,000 under $200,000",490
11980,"$200,000 or more",90
,,
12007,,100
12007,"$1 under $25,000",50
12007,"$25,000 under $50,000",**
12007,"$50,000 under $75,000",20
12007,"$75,000 under $100,000",30
12007,"$100,000 under $200,000",**
12007,"$200,000 or more",**
,,
12008,,250
12008,"$1 under $25,000",60
12008,"$25,000 under $50,000",40
12008,"$50,000 under $75,000",40
12008,"$75,000 under $100,000",30
12008,"$100,000 under $200,000",80
12008,"$200,000 or more",**
,,
12009,,"3,760"
12009,"$1 under $25,000",1050
12009,"$25,000 under $50,000",710
12009,"$50,000 under $75,000",550
12009,"$75,000 under $100,000",430
12009,"$100,000 under $200,000",790
12009,"$200,000 or more",230
,,
12010,,"13,180"
12010,"$1 under $25,000",5410
12010,"$25,000 under $50,000",3430
12010,"$50,000 under $75,000",1800
12010,"$75,000 under $100,000",1090
12010,"$100,000 under $200,000",1260
12010,"$200,000 or more",190
,,
12015,,"1,630"
12015,"$1 under $25,000",460
12015,"$25,000 under $50,000",350
12015,"$50,000 under $75,000",270
12015,"$75,000 under $100,000",190
12015,"$100,000 under $200,000",300
12015,"$200,000 or more",60
,,
12017,,170
12017,"$1 under $25,000",40
12017,"$25,000 under $50,000",50
12017,"$50,000 under $75,000",30
12017,"$75,000 under $100,000",20
12017,"$100,000 under $200,000",30
12017,"$200,000 or more",**
,,
12018,,"3,930"
12018,"$1 under $25,000",1100
12018,"$25,000 under $50,000",770
12018,"$50,000 under $75,000",610
12018,"$75,000 under $100,000",480
12018,"$100,000 under $200,000",810
12018,"$200,000 or more",160
,,
12019,,"7,910"
12019,"$1 under $25,000",1930
12019,"$25,000 under $50,000",1260
12019,"$50,000 under $75,000",1160
12019,"$75,000 under $100,000",1010
12019,"$100,000 under $200,000",2010
12019,"$200,000 or more",540
,,
12020,,"16,330"
12020,"$1 under $25,000",4890
12020,"$25,000 under $50,000",3560
12020,"$50,000 under $75,000",2390
12020,"$75,000 under $100,000",1810
12020,"$100,000 under $200,000",3090
12020,"$200,000 or more",590
,,
12022,,400
12022,"$1 under $25,000",130
12022,"$25,000 under $50,000",110
12022,"$50,000 under $75,000",70
12022,"$75,000 under $100,000",50
12022,"$100,000 under $200,000",40
12022,"$200,000 or more",**
,,
12023,,"1,010"
12023,"$1 under $25,000",310
12023,"$25,000 under $50,000",230
12023,"$50,000 under $75,000",180
12023,"$75,000 under $100,000",110
12023,"$100,000 under $200,000",180
12023,"$200,000 or more",**
,,
12025,,"2,770"
12025,"$1 under $25,000",950
12025,"$25,000 under $50,000",700
12025,"$50,000 under $75,000",400
12025,"$75,000 under $100,000",310
12025,"$100,000 under $200,000",360
12025,"$200,000 or more",50
,,
12027,,"2,070"
12027,"$1 under $25,000",560
12027,"$25,000 under $50,000",320
12027,"$50,000 under $75,000",260
12027,"$75,000 under $100,000",260
12027,"$100,000 under $200,000",540
12027,"$200,000 or more",130
,,
12028,,590
12028,"$1 under $25,000",190
12028,"$25,000 under $50,000",140
12028,"$50,000 under $75,000",110
12028,"$75,000 under $100,000",70
12028,"$100,000 under $200,000",80
12028,"$200,000 or more",**
,,
12029,,530
12029,"$1 under $25,000",160
12029,"$25,000 under $50,000",100
12029,"$50,000 under $75,000",100
12029,"$75,000 under $100,000",60
12029,"$100,000 under $200,000",80
12029,"$200,000 or more",30
,,
12031,,100
12031,"$1 under $25,000",40
12031,"$25,000 under $50,000",30
12031,"$50,000 under $75,000",30
12031,"$75,000 under $100,000",**
12031,"$100,000 under $200,000",**
12031,"$200,000 or more",**
,,
12032,,490
12032,"$1 under $25,000",160
12032,"$25,000 under $50,000",150
12032,"$50,000 under $75,000",70
12032,"$75,000 under $100,000",50
12032,"$100,000 under $200,000",60
12032,"$200,000 or more",**
,,
12033,,"4,170"
12033,"$1 under $25,000",1230
12033,"$25,000 under $50,000",820
12033,"$50,000 under $75,000",630
12033,"$75,000 under $100,000",480
12033,"$100,000 under $200,000",840
12033,"$200,000 or more",170
,,
12035,,430
12035,"$1 under $25,000",160
12035,"$25,000 under $50,000",120
12035,"$50,000 under $75,000",70
12035,"$75,000 under $100,000",40
12035,"$100,000 under $200,000",40
12035,"$200,000 or more",**
,,
12037,,"1,830"
12037,"$1 under $25,000",670
12037,"$25,000 under $50,000",450
12037,"$50,000 under $75,000",280
12037,"$75,000 under $100,000",170
12037,"$100,000 under $200,000",200
12037,"$200,000 or more",60
,,
12041,,270
12041,"$1 under $25,000",80
12041,"$25,000 under $50,000",50
12041,"$50,000 under $75,000",50
12041,"$75,000 under $100,000",30
12041,"$100,000 under $200,000",60
12041,"$200,000 or more",**
,,
12042,,230
12042,"$1 under $25,000",70
12042,"$25,000 under $50,000",50
12042,"$50,000 under $75,000",50
12042,"$75,000 under $100,000",30
12042,"$100,000 under $200,000",30
12042,"$200,000 or more",**
,,
12043,,"3,220"
12043,"$1 under $25,000",1230
12043,"$25,000 under $50,000",810
12043,"$50,000 under $75,000",450
12043,"$75,000 under $100,000",310
12043,"$100,000 under $200,000",360
12043,"$200,000 or more",60
,,
12046,,320
12046,"$1 under $25,000",80
12046,"$25,000 under $50,000",80
12046,"$50,000 under $75,000",50
12046,"$75,000 under $100,000",40
12046,"$100,000 under $200,000",70
12046,"$200,000 or more",**
,,
12047,,"10,520"
12047,"$1 under $25,000",3530
12047,"$25,000 under $50,000",2850
12047,"$50,000 under $75,000",1680
12047,"$75,000 under $100,000",950
12047,"$100,000 under $200,000",1220
12047,"$200,000 or more",290
,,
12051,,"1,760"
12051,"$1 under $25,000",610
12051,"$25,000 under $50,000",420
12051,"$50,000 under $75,000",250
12051,"$75,000 under $100,000",190
12051,"$100,000 under $200,000",250
12051,"$200,000 or more",40
,,
12052,,740
12052,"$1 under $25,000",190
12052,"$25,000 under $50,000",180
12052,"$50,000 under $75,000",130
12052,"$75,000 under $100,000",110
12052,"$100,000 under $200,000",130
12052,"$200,000 or more",**
,,
12053,,"2,150"
12053,"$1 under $25,000",590
12053,"$25,000 under $50,000",430
12053,"$50,000 under $75,000",340
12053,"$75,000 under $100,000",280
12053,"$100,000 under $200,000",440
12053,"$200,000 or more",70
,,
12054,,"8,870"
12054,"$1 under $25,000",2110
12054,"$25,000 under $50,000",1360
12054,"$50,000 under $75,000",1230
12054,"$75,000 under $100,000",1030
12054,"$100,000 under $200,000",2290
12054,"$200,000 or more",850
,,
12056,,"1,190"
12056,"$1 under $25,000",330
12056,"$25,000 under $50,000",240
12056,"$50,000 under $75,000",180
12056,"$75,000 under $100,000",150
12056,"$100,000 under $200,000",240
12056,"$200,000 or more",50
,,
12057,,780
12057,"$1 under $25,000",280
12057,"$25,000 under $50,000",210
12057,"$50,000 under $75,000",130
12057,"$75,000 under $100,000",70
12057,"$100,000 under $200,000",90
12057,"$200,000 or more",**
,,
12058,,680
12058,"$1 under $25,000",250
12058,"$25,000 under $50,000",160
12058,"$50,000 under $75,000",110
12058,"$75,000 under $100,000",70
12058,"$100,000 under $200,000",90
12058,"$200,000 or more",**
,,
12059,,830
12059,"$1 under $25,000",220
12059,"$25,000 under $50,000",180
12059,"$50,000 under $75,000",150
12059,"$75,000 under $100,000",110
12059,"$100,000 under $200,000",170
12059,"$200,000 or more",**
,,
12060,,670
12060,"$1 under $25,000",200
12060,"$25,000 under $50,000",130
12060,"$50,000 under $75,000",110
12060,"$75,000 under $100,000",80
12060,"$100,000 under $200,000",110
12060,"$200,000 or more",40
,,
12061,,"5,020"
12061,"$1 under $25,000",1280
12061,"$25,000 under $50,000",930
12061,"$50,000 under $75,000",790
12061,"$75,000 under $100,000",610
12061,"$100,000 under $200,000",1110
12061,"$200,000 or more",300
,,
12062,,870
12062,"$1 under $25,000",250
12062,"$25,000 under $50,000",220
12062,"$50,000 under $75,000",160
12062,"$75,000 under $100,000",100
12062,"$100,000 under $200,000",140
12062,"$200,000 or more",**
,,
12063,,280
12063,"$1 under $25,000",80
12063,"$25,000 under $50,000",60
12063,"$50,000 under $75,000",40
12063,"$75,000 under $100,000",30
12063,"$100,000 under $200,000",50
12063,"$200,000 or more",20
,,
12064,,210
12064,"$1 under $25,000",80
12064,"$25,000 under $50,000",60
12064,"$50,000 under $75,000",40
12064,"$75,000 under $100,000",30
12064,"$100,000 under $200,000",**
12064,"$200,000 or more",0
,,
12065,,"22,640"
12065,"$1 under $25,000",5920
12065,"$25,000 under $50,000",4300
12065,"$50,000 under $75,000",3330
12065,"$75,000 under $100,000",2620
12065,"$100,000 under $200,000",5030
12065,"$200,000 or more",1440
,,
12066,,960
12066,"$1 under $25,000",270
12066,"$25,000 under $50,000",220
12066,"$50,000 under $75,000",180
12066,"$75,000 under $100,000",130
12066,"$100,000 under $200,000",160
12066,"$200,000 or more",**
,,
12067,,780
12067,"$1 under $25,000",220
12067,"$25,000 under $50,000",150
12067,"$50,000 under $75,000",140
12067,"$75,000 under $100,000",110
12067,"$100,000 under $200,000",140
12067,"$200,000 or more",20
,,
12068,,"1,340"
12068,"$1 under $25,000",450
12068,"$25,000 under $50,000",400
12068,"$50,000 under $75,000",220
12068,"$75,000 under $100,000",130
12068,"$100,000 under $200,000",140
12068,"$200,000 or more",**
,,
12070,,660
12070,"$1 under $25,000",190
12070,"$25,000 under $50,000",170
12070,"$50,000 under $75,000",110
12070,"$75,000 under $100,000",80
12070,"$100,000 under $200,000",90
12070,"$200,000 or more",20
,,
12071,,120
12071,"$1 under $25,000",50
12071,"$25,000 under $50,000",30
12071,"$50,000 under $75,000",20
12071,"$75,000 under $100,000",20
12071,"$100,000 under $200,000",**
12071,"$200,000 or more",0
,,
12072,,"1,230"
12072,"$1 under $25,000",400
12072,"$25,000 under $50,000",340
12072,"$50,000 under $75,000",190
12072,"$75,000 under $100,000",160
12072,"$100,000 under $200,000",140
12072,"$200,000 or more",**
,,
12074,,"1,530"
12074,"$1 under $25,000",430
12074,"$25,000 under $50,000",350
12074,"$50,000 under $75,000",240
12074,"$75,000 under $100,000",190
12074,"$100,000 under $200,000",280
12074,"$200,000 or more",40
,,
12075,,"1,520"
12075,"$1 under $25,000",480
12075,"$25,000 under $50,000",360
12075,"$50,000 under $75,000",210
12075,"$75,000 under $100,000",160
12075,"$100,000 under $200,000",250
12075,"$200,000 or more",60
,,
12076,,570
12076,"$1 under $25,000",210
12076,"$25,000 under $50,000",130
12076,"$50,000 under $75,000",90
12076,"$75,000 under $100,000",60
12076,"$100,000 under $200,000",80
12076,"$200,000 or more",**
,,
12077,,"3,250"
12077,"$1 under $25,000",850
12077,"$25,000 under $50,000",530
12077,"$50,000 under $75,000",440
12077,"$75,000 under $100,000",350
12077,"$100,000 under $200,000",780
12077,"$200,000 or more",300
,,
12078,,"9,950"
12078,"$1 under $25,000",4290
12078,"$25,000 under $50,000",2760
12078,"$50,000 under $75,000",1370
12078,"$75,000 under $100,000",710
12078,"$100,000 under $200,000",720
12078,"$200,000 or more",100
,,
12083,,"1,880"
12083,"$1 under $25,000",620
12083,"$25,000 under $50,000",410
12083,"$50,000 under $75,000",330
12083,"$75,000 under $100,000",220
12083,"$100,000 under $200,000",270
12083,"$200,000 or more",30
,,
12084,,"2,450"
12084,"$1 under $25,000",550
12084,"$25,000 under $50,000",540
12084,"$50,000 under $75,000",480
12084,"$75,000 under $100,000",370
12084,"$100,000 under $200,000",420
12084,"$200,000 or more",90
,,
12085,,190
12085,"$1 under $25,000",60
12085,"$25,000 under $50,000",70
12085,"$50,000 under $75,000",30
12085,"$75,000 under $100,000",30
12085,"$100,000 under $200,000",**
12085,"$200,000 or more",**
,,
12086,,940
12086,"$1 under $25,000",270
12086,"$25,000 under $50,000",240
12086,"$50,000 under $75,000",170
12086,"$75,000 under $100,000",120
12086,"$100,000 under $200,000",140
12086,"$200,000 or more",**
,,
12087,,580
12087,"$1 under $25,000",190
12087,"$25,000 under $50,000",130
12087,"$50,000 under $75,000",100
12087,"$75,000 under $100,000",60
12087,"$100,000 under $200,000",100
12087,"$200,000 or more",**
,,
12090,,"2,720"
12090,"$1 under $25,000",1000
12090,"$25,000 under $50,000",670
12090,"$50,000 under $75,000",450
12090,"$75,000 under $100,000",260
12090,"$100,000 under $200,000",300
12090,"$200,000 or more",40
,,
12092,,560
12092,"$1 under $25,000",200
12092,"$25,000 under $50,000",150
12092,"$50,000 under $75,000",100
12092,"$75,000 under $100,000",40
12092,"$100,000 under $200,000",70
12092,"$200,000 or more",**
,,
12093,,670
12093,"$1 under $25,000",260
12093,"$25,000 under $50,000",160
12093,"$50,000 under $75,000",110
12093,"$75,000 under $100,000",60
12093,"$100,000 under $200,000",80
12093,"$200,000 or more",**
,,
12094,,"1,070"
12094,"$1 under $25,000",330
12094,"$25,000 under $50,000",250
12094,"$50,000 under $75,000",170
12094,"$75,000 under $100,000",140
12094,"$100,000 under $200,000",180
12094,"$200,000 or more",**
,,
12095,,"5,590"
12095,"$1 under $25,000",2050
12095,"$25,000 under $50,000",1580
12095,"$50,000 under $75,000",840
12095,"$75,000 under $100,000",530
12095,"$100,000 under $200,000",540
12095,"$200,000 or more",50
,,
12106,,"1,340"
12106,"$1 under $25,000",400
12106,"$25,000 under $50,000",260
12106,"$50,000 under $75,000",220
12106,"$75,000 under $100,000",140
12106,"$100,000 under $200,000",250
12106,"$200,000 or more",70
,,
12108,,210
12108,"$1 under $25,000",60
12108,"$25,000 under $50,000",70
12108,"$50,000 under $75,000",40
12108,"$75,000 under $100,000",20
12108,"$100,000 under $200,000",20
12108,"$200,000 or more",**
,,
12110,,"10,280"
12110,"$1 under $25,000",2800
12110,"$25,000 under $50,000",2220
12110,"$50,000 under $75,000",1680
12110,"$75,000 under $100,000",1230
12110,"$100,000 under $200,000",1950
12110,"$200,000 or more",400
,,
12116,,800
12116,"$1 under $25,000",320
12116,"$25,000 under $50,000",220
12116,"$50,000 under $75,000",110
12116,"$75,000 under $100,000",70
12116,"$100,000 under $200,000",80
12116,"$200,000 or more",**
,,
12117,,"1,540"
12117,"$1 under $25,000",570
12117,"$25,000 under $50,000",450
12117,"$50,000 under $75,000",200
12117,"$75,000 under $100,000",150
12117,"$100,000 under $200,000",150
12117,"$200,000 or more",20
,,
12118,,"7,690"
12118,"$1 under $25,000",2320
12118,"$25,000 under $50,000",1720
12118,"$50,000 under $75,000",1130
12118,"$75,000 under $100,000",800
12118,"$100,000 under $200,000",1420
12118,"$200,000 or more",300
,,
12120,,280
12120,"$1 under $25,000",90
12120,"$25,000 under $50,000",60
12120,"$50,000 under $75,000",40
12120,"$75,000 under $100,000",40
12120,"$100,000 under $200,000",50
12120,"$200,000 or more",**
,,
12121,,980
12121,"$1 under $25,000",300
12121,"$25,000 under $50,000",190
12121,"$50,000 under $75,000",150
12121,"$75,000 under $100,000",130
12121,"$100,000 under $200,000",180
12121,"$200,000 or more",30
,,
12122,,"1,910"
12122,"$1 under $25,000",720
12122,"$25,000 under $50,000",520
12122,"$50,000 under $75,000",310
12122,"$75,000 under $100,000",170
12122,"$100,000 under $200,000",190
12122,"$200,000 or more",**
,,
12123,,"2,620"
12123,"$1 under $25,000",750
12123,"$25,000 under $50,000",620
12123,"$50,000 under $75,000",450
12123,"$75,000 under $100,000",310
12123,"$100,000 under $200,000",410
12123,"$200,000 or more",80
,,
12125,,720
12125,"$1 under $25,000",260
12125,"$25,000 under $50,000",200
12125,"$50,000 under $75,000",110
12125,"$75,000 under $100,000",60
12125,"$100,000 under $200,000",60
12125,"$200,000 or more",30
,,
12130,,530
12130,"$1 under $25,000",180
12130,"$25,000 under $50,000",120
12130,"$50,000 under $75,000",100
12130,"$75,000 under $100,000",60
12130,"$100,000 under $200,000",70
12130,"$200,000 or more",**
,,
12131,,100
12131,"$1 under $25,000",40
12131,"$25,000 under $50,000",30
12131,"$50,000 under $75,000",**
12131,"$75,000 under $100,000",30
12131,"$100,000 under $200,000",**
12131,"$200,000 or more",0
,,
12134,,"1,760"
12134,"$1 under $25,000",640
12134,"$25,000 under $50,000",450
12134,"$50,000 under $75,000",260
12134,"$75,000 under $100,000",160
12134,"$100,000 under $200,000",210
12134,"$200,000 or more",40
,,
12136,,440
12136,"$1 under $25,000",130
12136,"$25,000 under $50,000",80
12136,"$50,000 under $75,000",60
12136,"$75,000 under $100,000",50
12136,"$100,000 under $200,000",90
12136,"$200,000 or more",30
,,
12137,,880
12137,"$1 under $25,000",260
12137,"$25,000 under $50,000",210
12137,"$50,000 under $75,000",150
12137,"$75,000 under $100,000",120
12137,"$100,000 under $200,000",140
12137,"$200,000 or more",**
,,
12138,,"1,380"
12138,"$1 under $25,000",440
12138,"$25,000 under $50,000",370
12138,"$50,000 under $75,000",230
12138,"$75,000 under $100,000",170
12138,"$100,000 under $200,000",140
12138,"$200,000 or more",30
,,
12139,,140
12139,"$1 under $25,000",40
12139,"$25,000 under $50,000",30
12139,"$50,000 under $75,000",40
12139,"$75,000 under $100,000",**
12139,"$100,000 under $200,000",30
12139,"$200,000 or more",**
,,
12140,,920
12140,"$1 under $25,000",230
12140,"$25,000 under $50,000",190
12140,"$50,000 under $75,000",150
12140,"$75,000 under $100,000",120
12140,"$100,000 under $200,000",200
12140,"$200,000 or more",30
,,
12143,,"2,530"
12143,"$1 under $25,000",840
12143,"$25,000 under $50,000",610
12143,"$50,000 under $75,000",420
12143,"$75,000 under $100,000",280
12143,"$100,000 under $200,000",350
12143,"$200,000 or more",30
,,
12144,,"10,570"
12144,"$1 under $25,000",3210
12144,"$25,000 under $50,000",2620
12144,"$50,000 under $75,000",1860
12144,"$75,000 under $100,000",1200
12144,"$100,000 under $200,000",1470
12144,"$200,000 or more",210
,,
12147,,270
12147,"$1 under $25,000",70
12147,"$25,000 under $50,000",60
12147,"$50,000 under $75,000",40
12147,"$75,000 under $100,000",50
12147,"$100,000 under $200,000",50
12147,"$200,000 or more",**
,,
12148,,"2,390"
12148,"$1 under $25,000",600
12148,"$25,000 under $50,000",290
12148,"$50,000 under $75,000",290
12148,"$75,000 under $100,000",260
12148,"$100,000 under $200,000",680
12148,"$200,000 or more",270
,,
12149,,980
12149,"$1 under $25,000",390
12149,"$25,000 under $50,000",250
12149,"$50,000 under $75,000",150
12149,"$75,000 under $100,000",80
12149,"$100,000 under $200,000",110
12149,"$200,000 or more",**
,,
12150,,450
12150,"$1 under $25,000",140
12150,"$25,000 under $50,000",100
12150,"$50,000 under $75,000",80
12150,"$75,000 under $100,000",60
12150,"$100,000 under $200,000",70
12150,"$200,000 or more",**
,,
12151,,410
12151,"$1 under $25,000",110
12151,"$25,000 under $50,000",80
12151,"$50,000 under $75,000",80
12151,"$75,000 under $100,000",50
12151,"$100,000 under $200,000",90
12151,"$200,000 or more",**
,,
12153,,460
12153,"$1 under $25,000",110
12153,"$25,000 under $50,000",90
12153,"$50,000 under $75,000",80
12153,"$75,000 under $100,000",70
12153,"$100,000 under $200,000",110
12153,"$200,000 or more",**
,,
12154,,"1,480"
12154,"$1 under $25,000",430
12154,"$25,000 under $50,000",330
12154,"$50,000 under $75,000",250
12154,"$75,000 under $100,000",180
12154,"$100,000 under $200,000",260
12154,"$200,000 or more",30
,,
12155,,760
12155,"$1 under $25,000",290
12155,"$25,000 under $50,000",220
12155,"$50,000 under $75,000",120
12155,"$75,000 under $100,000",70
12155,"$100,000 under $200,000",60
12155,"$200,000 or more",**
,,
12156,,420
12156,"$1 under $25,000",100
12156,"$25,000 under $50,000",100
12156,"$50,000 under $75,000",80
12156,"$75,000 under $100,000",60
12156,"$100,000 under $200,000",80
12156,"$200,000 or more",**
,,
12157,,"1,810"
12157,"$1 under $25,000",580
12157,"$25,000 under $50,000",440
12157,"$50,000 under $75,000",300
12157,"$75,000 under $100,000",200
12157,"$100,000 under $200,000",250
12157,"$200,000 or more",40
,,
12158,,"3,270"
12158,"$1 under $25,000",900
12158,"$25,000 under $50,000",700
12158,"$50,000 under $75,000",530
12158,"$75,000 under $100,000",400
12158,"$100,000 under $200,000",610
12158,"$200,000 or more",130
,,
12159,,"4,440"
12159,"$1 under $25,000",1120
12159,"$25,000 under $50,000",630
12159,"$50,000 under $75,000",520
12159,"$75,000 under $100,000",390
12159,"$100,000 under $200,000",1030
12159,"$200,000 or more",750
,,
12160,,440
12160,"$1 under $25,000",160
12160,"$25,000 under $50,000",100
12160,"$50,000 under $75,000",70
12160,"$75,000 under $100,000",40
12160,"$100,000 under $200,000",70
12160,"$200,000 or more",**
,,
12164,,280
12164,"$1 under $25,000",110
12164,"$25,000 under $50,000",70
