SITE ID,STATUS,PPT_ID,ADDRESS,CITY,STATE,ZIP,BORO,LATITUDE,LONGITUDE,CROSS_STREET_1,CROSS_STREET_2,CORNER,INSTALL_DATE,ACTIVE_DATE,WIFI_STATUS,TABLET_STATUS,PHONE_STATUS,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,NTA_NAME
bk-06-145875,Link Active!,145875,280 SMITH STREET,New York,NY,11231,Brooklyn,40.68240987,-73.99346713,SACKETT STREET,DEGRAW STREET,NW,07/20/2017 12:00:00 AM,09/18/2017 12:00:00 AM,up,up,up,6,39,75,BK33,Carroll Gardens-Columbia Street-Red Hook
mn-10-134578,Link Active!,134578,2380 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10030,Manhattan,40.81802907,-73.94192414,WEST 139 STREET,WEST 140 STREET,NW,08/13/2017 12:00:00 AM,09/15/2017 12:00:00 AM,up,down,up,,,,,
mn-10-134604,Link Active!,134604_134606,2022 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10027,Manhattan,40.80662994,-73.95025609,WEST 121 STREET,WEST 122 STREET,NW,07/19/2017 12:00:00 AM,09/12/2017 12:00:00 AM,up,up,up,,,,,
mn-10-134720,Link Active!,134720_134721,2534 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10039,Manhattan,40.82290225,-73.93836455,WEST 147 STREET,WEST 146 STREET,SW,08/19/2017 12:00:00 AM,09/21/2017 12:00:00 AM,up,up,up,,,,,
mn-10-136677,Link Active!,136677_136698,2079 FREDERICK DOUGLASS BOULEVARD,New York,NY,10026,Manhattan,40.80234988,-73.95698009,WEST 113 STREET,WEST 112 STREET,SW,10/08/2016 12:00:00 AM,10/31/2016 12:00:00 AM,up,up,up,10,9,19702,MN11,Central Harlem South
mn-10-137181,Link Active!,137181_137207,2346 FREDERICK DOUGLASS BOULEVARD,New York,NY,10027,Manhattan,40.810690,-73.950658,WEST 126 STREET,WEST 125 STREET,SE,09/24/2016 12:00:00 AM,10/14/2016 12:00:00 AM,up,up,up,10,9,222,MN11,Central Harlem South
mn-10-137182,Link Active!,137182_137206,2321 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10030,Manhattan,40.81644556,-73.94264858,WEST 137 STREET,WEST 136 STREET,SE,10/29/2016 12:00:00 AM,01/11/2017 12:00:00 AM,up,up,up,,,,,
mn-10-137208,Link Active!,137208_137237,2640 FREDERICK DOUGLASS BOULEVARD,New York,NY,10030,Manhattan,40.8201217,-73.94377622,WEST 141 STREET,WEST 140 STREET,SE,11/17/2016 12:00:00 AM,12/16/2016 12:00:00 AM,up,up,up,10,9,230,MN03,Central Harlem North-Polo Grounds
mn-10-137385,Link Active!,137385_137415,2401 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10030,Manhattan,40.818505,-73.941152,WEST 140 STREET,WEST 141 STREET,NE,07/19/2017 12:00:00 AM,09/12/2017 12:00:00 AM,up,down,up,,,,,
mn-10-137852,Link Active!,137852_137853,1995 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10026,Manhattan,40.805615,-73.950557,WEST 120 STREET,WEST 119 STREET,SE,12/06/2016 12:00:00 AM,01/20/2017 12:00:00 AM,up,up,up,,,,,
mn-10-138120,Link Active!,138120_138121,2491 FREDERICK DOUGLASS BOULEVARD,New York,NY,10030,Manhattan,40.81537577,-73.94750336,WEST 133 STREET,WEST 134 STREET,NW,10/26/2016 12:00:00 AM,11/16/2016 12:00:00 AM,up,up,up,10,9,215,MN03,Central Harlem North-Polo Grounds
mn-10-138528,Link Active!,138528_138529,99 WEST 116 STREET,New York,NY,10026,Manhattan,40.80194888,-73.9492591,LENOX AVENUE,5 AVENUE,NE,12/21/2016 12:00:00 AM,02/06/2017 12:00:00 AM,up,up,up,10,9,190,MN11,Central Harlem South
mn-10-142513,Link Active!,142513,2197 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10027,Manhattan,40.81197343,-73.94591692,WEST 130 STREET,WEST 131 STREET,SE,10/29/2016 12:00:00 AM,12/16/2016 12:00:00 AM,up,up,up,,,,,
mn-10-142515,Link Active!,142515,2001 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10027,Manhattan,40.805827,-73.950407,WEST 120 STREET,WEST 121 STREET,NE,07/29/2017 12:00:00 AM,09/12/2017 12:00:00 AM,up,up,up,,,,,
mn-10-142554,Link Active!,142554,2570 ADAM CLAYTON POWELL JR. BOULEVARD,New York,NY,10039,Manhattan,40.8240811,-73.93750775,WEST 149 STREET,WEST 148 STREET,SW,07/19/2017 12:00:00 AM,09/15/2017 12:00:00 AM,up,up,up,,,,,
mn-10-142632,Link Active!,142632,2327 FREDERICK DOUGLASS BOULEVARD,New York,NY,10027,Manhattan,40.81002334,-73.95141341,WEST 124 STREET,WEST 125 STREET,SW,09/24/2016 12:00:00 AM,10/14/2016 12:00:00 AM,up,up,up,10,9,257,MN11,Central Harlem South
