,poverty_rate_nyc,poverty_rate_boro,poverty_rate,crime_count,crime_count_nyc,crime_count_boro,pop_2010,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,male_65_69,female_60_64,male_60_64,female_55_59,male_55_59,female_50_54,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5
count,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
mean,20.5,20.14915254237288,20.52203389830509,1692.2542372881355,99843.0,23520.745762711864,138503.05084745763,1.2195522965593222,0.5363463483728814,1.024849744627119,0.6163694659661018,1.2638619658474575,0.9065922357288134,1.6743603861016947,1.233239938576271,2.2681303786101696,1.7396553130338979,2.8637881507288134,2.367865657118644,3.1625506107118646,2.772951009983051,3.4110223740847445,3.089737245050848,3.4228765679152544,3.1961892657966113,3.4845193530169487,3.306500175728815,3.7076588659661014,3.5263925388983037,4.397157412457628,4.151239912661016,4.844412243779662,4.491960277830508,3.9092756595423737,3.719659419983052,2.8911222997457626,2.9349463863728813,2.7224565284915254,2.797421240864407,2.78702635498305,2.941579675169492,3.2273156497627125,3.3990264649661013
std,0.0,4.491078239375449,6.852763545149333,741.3771805930836,0.0,6038.481099247815,43455.936764935344,0.4987950010335019,0.26271515051140315,0.3599355953722086,0.2425216505249301,0.38059505073196565,0.29867079271298713,0.3841950473490593,0.35441344586840345,0.46682452076581193,0.43954299223971316,0.5425831727971364,0.49223986183938007,0.5473542515147988,0.468819930676568,0.5950193423042417,0.4259150978451022,0.455151076610974,0.42282195010608126,0.38386961134887543,0.644815477880919,0.5160687182619902,0.8281371155299642,1.1077041096015061,1.2569310324549623,1.4948828397352376,1.2376562976394683,0.8649224019934605,0.8592800047543586,0.7665394288411771,0.9242972745598762,0.8300657925822408,0.8714676775342374,0.7836839583571711,0.8027945360555228,0.774190755029782,0.8783773590337516
min,20.5,14.4,7.1,518.0,99843.0,3056.0,51673.0,0.45148102100000004,0.147931751,0.47888623399999997,0.17231106899999998,0.677595055,0.46902876299999996,0.9575167529999999,0.69446134,1.418759993,0.936901089,1.67275074,1.3455569369999998,2.23033432,1.972423346,1.9777713280000002,2.324034605,2.224992744,2.22445154,2.47221416,2.3391119280000003,2.867768425,2.369277199,3.012456176,2.442315754,3.012456176,2.59935346,1.7371485469999999,1.362233799,1.177747772,0.87931113,0.7097331840000001,0.6724143929999999,0.873517765,1.044318213,1.394212356,1.6034497069999998
25%,20.5,17.0,15.1,1132.0,99843.0,20733.5,107451.0,0.8787216415,0.356254348,0.7641736665000001,0.42926170399999997,1.015058334,0.6869193,1.409377998,0.9223822749999999,1.922443592,1.409990594,2.586350616,2.0750948645000005,2.706753012,2.4356480655,3.041364981,2.7963428815,3.2045647925000003,2.909324435,3.1792221415,2.8741202625,3.350802931,2.8899076535,3.6608444035,3.2421374895,3.8010360199999997,3.476038537,3.3286160514999996,3.236642754,2.532117997,2.5038836995000002,2.211584346,2.2602271765,2.4465322615,2.5007330795,2.7866559200000003,2.7682686760000004
50%,20.5,21.2,21.1,1583.0,99843.0,26150.0,132003.0,1.123982683,0.45786476600000003,0.998843725,0.590849279,1.206895398,0.867315134,1.60973189,1.146052031,2.220687532,1.6786774219999998,2.822488859,2.403013074,3.152097682,2.722839912,3.491367281,3.095200342,3.492220667,3.149723383,3.5118323819999997,3.215963445,3.663701538,3.353119688,4.00116911,3.830779986,4.274061115,4.130873766000001,3.998366307,3.791857522,2.889342183,2.9772612880000002,2.759050684,2.9280519519999997,2.786151391,2.9772612880000002,3.263733634,3.398268322
75%,20.5,21.2,24.65,2021.5,99843.0,29170.0,171937.0,1.554219378,0.701305472,1.207219973,0.77023357,1.4263775465000001,1.061118012,1.897670396,1.506992906,2.6442679105,2.0512866059999997,3.2722175590000004,2.678314314,3.5601851205,3.1352739114999997,3.8051765370000004,3.4077211070000004,3.70344167,3.488634468,3.781897941,3.6047152595,4.008536691,3.944754738,4.8021275765,4.835571633,5.597768633499999,5.100679104,4.2481048285,4.1548293725,3.304216351,3.5493527625,3.2549895035,3.360571144,3.3003211844999996,3.5014838005,3.660849103,4.077083338
max,20.5,27.5,34.2,4989.0,99843.0,29170.0,247354.0,2.421479793,1.221157877,2.409964941,1.266385947,2.683824593,1.809122781,2.683824593,2.195838638,3.477160088,2.645254974,4.217438647,3.457464721,4.1541468130000005,3.601525751,4.619496497,4.030101866,4.275828023,4.14345146,4.332088918,5.5344876979999995,5.411929946,5.371767751,7.044476795,7.189661589,9.226531393,7.2909667439999994,7.027580686,6.078897809,4.65561518,4.999278434,4.400541204,4.6511259460000005,4.845539753,4.954460247,5.686092567,6.319464601
