,age15_24,age25_54,age55_102
10026,0.013044047869946855,0.01332289179765496,0.009832137906093665
10027,0.03332213102147996,0.020922254709452682,0.01704237237056235
10030,0.012018751530824396,0.009486786380087351,0.00808420227834368
10037,0.006271395940965715,0.005183791999311256,0.006550991501416431
10039,0.01102763173633935,0.00794539054765082,0.006445512627328069
10001,0.007074544739944975,0.009743409746389889,0.008442077029714905
10011,0.011352308910394796,0.02652492226795453,0.0226628895184136
10018,0.002198691038340387,0.0031026592803287427,0.001480471339883069
10019,0.010999151282474837,0.021721926231543814,0.018183804472304263
10036,0.00799731144515519,0.014533160705830151,0.010728708335844736
10029,0.03700180566077501,0.024900744704452665,0.02336733771321801
10035,0.016535751513736124,0.013046400815896742,0.011632812970887831
10010,0.01303265568840105,0.013586137702442724,0.011888975950816708
10016,0.017971166388507567,0.02480802916565949,0.01875263697185221
10017,0.003975871359485985,0.007273202891400303,0.0072366041829907786
10022,0.005217619147978742,0.011452024675578395,0.020410162136097885
10012,0.007336564915498493,0.011543084579750264,0.01000919173045627
10013,0.009335892776787291,0.012117589793343687,0.011885208848170695
10014,0.006106209308551541,0.016082834711373218,0.013810198300283285
10004,0.001065168974532778,0.0017615952370703214,0.0006554758604062444
10005,0.003121457743550601,0.004274848592213882,0.0004859562413356639
10006,0.0014468070563172495,0.0018360987950291226,0.0003051353143270448
10007,0.0016404741425959364,0.004533127593137725,0.001374992465794708
10038,0.01022448293736009,0.007846052470372419,0.007093454282442288
10280,0.0013271891500862957,0.0038874300908281153,0.0023958772828642037
10002,0.029232337846535922,0.029470296259259135,0.03776897112892532
10003,0.03279239457960002,0.02373186666181014,0.019438249653426557
10009,0.025068495491544152,0.02486763201202653,0.022259809535290217
10021,0.006516327844200525,0.015356011112619578,0.021962208426255198
10028,0.008851725061090573,0.016589458905493064,0.021001597251521908
10044,0.003354997465239606,0.004524849420031192,0.006204418057983244
10065,0.005160658240249716,0.011976860850532617,0.01654511482128865
10075,0.004482823438274312,0.008910625531872622,0.01280061479115183
10128,0.014678825921769889,0.023049745197831782,0.024493701404375866
10023,0.012599752789660456,0.022857691581760205,0.03007654752576698
10024,0.010617513200690366,0.02183782065503528,0.030856337773491654
10025,0.033310738839934156,0.03358289265858496,0.04279428605870653
10031,0.028571591316879225,0.021731860039271654,0.017878669157977218
10032,0.027859579970266408,0.021233514018258338,0.020545777831354348
10033,0.029659544654503614,0.019629204070212153,0.01942694834548852
10034,0.015738298805529766,0.014288126781876761,0.013260201313965403
10040,0.017549655671312777,0.014682167821747754,0.015045807968175517
11691,0.026384292460084644,0.017024890810896726,0.02160056657223796
11692,0.008145409805250657,0.005354322365305845,0.005707160508709542
11693,0.004602441344505266,0.0038923969946920356,0.004686275691640046
11694,0.0070346721045346575,0.00651823350408445,0.011821168103188475
11697,0.0011278259730347062,0.0010662286961215103,0.002708546802483274
11204,0.03404553454963858,0.025056374358855493,0.030856337773491654
11218,0.03149368588337824,0.027447110752022358,0.02497965764571153
11219,0.043518133504975534,0.02685108228835195,0.028984087758423243
11230,0.037035982205412425,0.02647359759469402,0.036665210053643545
11201,0.015869308893306525,0.022468617445753132,0.0183118859622687
11205,0.019036335363040346,0.014119252050503479,0.00840817310590079
11215,0.014844012554184063,0.02869711489110891,0.01962283768308119
11217,0.00909096087355248,0.016165616442438552,0.01067220179615454
11231,0.00886881333340928,0.014216934493160574,0.009775631366403472
11203,0.030001310100877768,0.022606035119321587,0.031086131034898438
11210,0.027318451346840664,0.018182179411190103,0.02227864504852028
11225,0.021998302564949675,0.018817943105771874,0.01895229341209089
11226,0.04264093552594854,0.03239911390435068,0.032012838285817614
11220,0.046098462625100395,0.03901999675495614,0.03071318787294316
11232,0.014154785570662853,0.013865939953443554,0.007040714845398107
