,age0_18,age19_35,age36_55,age56_102,low_income,medium_income,high_income,shoes,restaurant,gym,clothes,clinic
10026,0.013803555641404723,0.011913770887448102,0.01468126836955959,0.009591212591869085,0.6315217391304349,0.2152173913043478,0.1532608695652174,0.0,0.007100591715976331,0.0,0.0,0.014925373134328358
10027,0.022778095584793802,0.025765446996502565,0.020243182772444655,0.01687669127183642,0.6757542711741185,0.19120319883678666,0.13304252998909488,0.017857142857142856,0.009861932938856016,0.0625,0.010395010395010396,0.014925373134328358
10030,0.012659450383721016,0.009065714928517375,0.010410615376651463,0.007949978383744576,0.7581462708182477,0.18102824040550328,0.060825488776249104,0.0,0.002366863905325444,0.015625,0.0,0.0
10037,0.006474595662800978,0.00495469699138936,0.005668321245132606,0.006624981986453813,0.6343490304709141,0.2696214219759926,0.09602954755309326,0.0,0.0007889546351084812,0.015625,0.0,0.0
10039,0.012425428853740258,0.007723498251283415,0.008699478318886927,0.0064088194322130245,0.7540500736377025,0.1840942562592047,0.061855670103092786,0.0,0.0,0.0,0.0,0.0
10001,0.003967222127292854,0.00934182807354836,0.009752043298957213,0.008290234256160633,0.43256464011180984,0.22851153039832284,0.3389238294898672,0.13392857142857142,0.03116370808678501,0.09375,0.08108108108108109,0.014925373134328358
10011,0.009204846845909824,0.020197165238377682,0.02866945433420951,0.022621011000272206,0.28910891089108914,0.23201320132013203,0.4788778877887788,0.026785714285714284,0.046548323471400394,0.0625,0.05405405405405406,0.04477611940298507
10018,0.0006797768251822025,0.0032571124700877425,0.0027953365044489564,0.0014651017565209038,0.38948995363214833,0.22256568778979907,0.38794435857805254,0.008928571428571428,0.020512820512820513,0.015625,0.016632016632016633,0.0
10019,0.006768051232141929,0.021135438610844087,0.019368921149654033,0.01823371175123693,0.34969818913480877,0.23943661971830987,0.41086519114688136,0.017857142857142856,0.04694280078895464,0.015625,0.04158004158004158,0.014925373134328358
10036,0.0034954644398713253,0.013872128934612317,0.013686220601515003,0.01064800730149072,0.40911528150134047,0.24289544235924934,0.3479892761394102,0.026785714285714284,0.03826429980276134,0.0,0.035343035343035345,0.029850746268656716
