,age6_12,age13_17,age18_24,age25_34,age35_44,age45_54,age55_64,age65_102
10026,0.015021788162130203,0.014963787633925899,0.012695130930158187,0.011557825143872512,0.014268940570652318,0.014825341967991472,0.01093841264061777,0.00874074850142561
10027,0.022007138634024568,0.024809959897049143,0.03575758026490953,0.02224321057813138,0.01909194778936727,0.02099449298299446,0.01829642946544387,0.015805189071070966
10030,0.012525456018569208,0.015008678996827677,0.010999471965848833,0.008424245819893227,0.009582830936748051,0.010988194635099563,0.008617223827837578,0.007558352728116324
10037,0.0067992204436463964,0.007751241994373615,0.005905057972200117,0.00453428527978101,0.005170516472465157,0.0062240596889585114,0.005719530604040082,0.007371264789301563
10039,0.013116692578886285,0.013557191596336865,0.009988026267839746,0.0068554551493952955,0.008492915549986046,0.008862905960821047,0.006121566574881096,0.006765099867541739
10001,0.003558368187093525,0.0039055485724546596,0.00808412848335205,0.009840959843761255,0.009682871479494322,0.009547649424266403,0.00891306161770172,0.007977429711061388
10011,0.007970744739089496,0.007003052612677321,0.012710005131599497,0.023487837870286625,0.02874849281024415,0.028600959286833223,0.02399320331641748,0.021350475577540468
10018,0.000558390084743907,0.0007332255940623691,0.0026847933601564767,0.003401714464089901,0.0033697867030322813,0.002277095008155553,0.0016612429738524907,0.001302132054150733
10019,0.0057809797008780955,0.005581492787454361,0.012613322822230981,0.024580388515811968,0.021382349689084524,0.017703202467660405,0.017583384536027733,0.01877614553944936
10036,0.0031423128298333587,0.0030825402525887355,0.009452555015952581,0.01566389460287985,0.013631840272110276,0.013840215758789425,0.012121763800074339,0.009354396940738025
10029,0.03607637900453281,0.04103070569222481,0.03540803653103874,0.02535677981702778,0.02366748629707829,0.02563589089323493,0.021922338787368486,0.02479289365173206
10035,0.015919591827796876,0.017791943496737895,0.01596001814652576,0.011473782786524408,0.013205351642507752,0.015229082217664443,0.011689385491811363,0.01157700165385738
10010,0.004445223027569142,0.0037409469084814747,0.0158707729378779,0.01641227178497963,0.01201013042127599,0.011136771046979216,0.01176524133536627,0.012011045671907623
10016,0.00602185385508135,0.004788412042856288,0.02207331493890422,0.03270048104244539,0.020892677558800147,0.017179955104084238,0.01791715024766933,0.019576881917576536
10017,0.001587579652703265,0.0014664511881247381,0.004715121856895308,0.00896852013414761,0.00633941123507948,0.005726651701361412,0.006849782673008216,0.007618220868537047
10022,0.0046641995313902816,0.003561381456874364,0.005845561166434877,0.011521806990723325,0.011315111913775582,0.011611569580594628,0.01599041182137466,0.02477044309907429
