index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
59,node,3927150550,40.7494179,-73.9863825,,shoes,Geox,POINT (-73.9863825 40.7494179)
60,node,3927150553,40.7493895,-73.9862967,,shoes,Aldo,POINT (-73.9862967 40.7493895)
61,node,3970473672,40.74564,-73.9826157,,shoes,Eneslow,POINT (-73.9826157 40.74564)
62,node,4008008891,40.7697115,-73.9628995,,shoes,French Sole Comfort,POINT (-73.96289950000001 40.7697115)
63,node,4261954990,40.7513547,-73.982196,,shoes,Payless Shoes,POINT (-73.982196 40.7513547)
64,node,4281354990,40.7606178,-73.9819075,,shoes,Men's Wearhouse,POINT (-73.98190750000001 40.7606178)
65,node,4316479494,40.7610894,-73.9730309,,shoes,Walking Company,POINT (-73.9730309 40.7610894)
66,node,4382630251,40.721446,-74.0020334,,shoes,Vans,POINT (-74.0020334 40.721446)
67,node,4407735189,40.5815473,-74.1644878,,shoes,Payless Shoe Source,POINT (-74.1644878 40.5815473)
68,node,4407735234,40.5826758,-74.1659952,,shoes,Skechers,POINT (-74.1659952 40.5826758)
69,node,4414226403,40.5677538,-74.1120751,,shoes,Payless Shoe Source,POINT (-74.1120751 40.5677538)
70,node,4416981389,40.7096624,-74.0122014,,shoes,,POINT (-74.0122014 40.7096624)
71,node,4432455491,40.7584831,-73.9773562,,shoes,Cole Haan,POINT (-73.9773562 40.7584831)
72,node,4432512289,40.7685134,-73.9826514,,shoes,Cole Haan,POINT (-73.98265139999999 40.7685134)
73,node,4458960902,40.7610181,-73.9706455,New York,shoes,CitiShoes,POINT (-73.9706455 40.7610181)
74,node,4461963793,40.7417126,-73.9905466,,shoes,Shoegasm,POINT (-73.9905466 40.7417126)
75,node,4461963794,40.7229525,-73.9992665,,shoes,UGG,POINT (-73.9992665 40.7229525)
76,node,4470527389,40.7326091,-73.9908729,,shoes,Flight Club NY,POINT (-73.9908729 40.7326091)
77,node,4559312795,40.6913815,-73.986757,,shoes,Payless Shoe Source,POINT (-73.986757 40.6913815)
78,node,4559312798,40.6905691,-73.985526,,shoes,Kids Foot Locker,POINT (-73.98552599999999 40.6905691)
79,node,4565955298,40.7206891,-74.0020439,New York,shoes,NikeLab 21M,POINT (-74.0020439 40.7206891)
80,node,4587340691,40.7863932,-73.9784585,,shoes,Harry's Shoes,POINT (-73.9784585 40.7863932)
81,node,4882273178,40.6738191,-73.9862579,,shoes,Red Wing,POINT (-73.9862579 40.6738191)
82,node,4911460721,40.7223794,-73.9959653,,shoes,Spacecowboys,POINT (-73.99596529999999 40.7223794)
83,node,4998806133,40.7357549,-73.9915086,,shoes,Sketchers,POINT (-73.9915086 40.7357549)
84,node,5005273960,40.7382102,-74.1710583,,shoes,Nike Factory Store,POINT (-74.1710583 40.7382102)
85,node,5017262525,40.7740143,-73.9635991,,shoes,Christian Louboutin,POINT (-73.9635991 40.7740143)
86,node,5023333922,40.7253566,-74.0002776,,shoes,Cole Haan,POINT (-74.0002776 40.7253566)
87,node,5061471722,40.7232052,-73.9988208,,shoes,Niketown,POINT (-73.9988208 40.7232052)
88,node,5089313323,40.7101898,-74.0099011,,shoes,ALDO,POINT (-74.00990109999999 40.7101898)
89,node,5163880322,40.6927465,-73.9274346,,shoes,Oh's World,POINT (-73.9274346 40.6927465)
90,node,5173971821,40.76575,-73.9658113,,shoes,Tru Form Shoes,POINT (-73.9658113 40.76575)
91,node,5181084443,40.9259439,-74.0718659,,shoes,Globe Shoes,POINT (-74.07186590000001 40.9259439)
92,node,5181111839,40.6759845,-73.9809368,,shoes,DNA Footware,POINT (-73.98093679999999 40.6759845)
93,node,5195826563,40.7318573,-74.0657598,,shoes,Payless ShoeSource,POINT (-74.0657598 40.7318573)
94,node,5219854021,40.7184523,-73.9605541,,shoes,Vans,POINT (-73.9605541 40.7184523)
95,node,5268858521,40.7236986,-73.9968561,,shoes,Allbirds,POINT (-73.9968561 40.7236986)
