,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
401,node,4623422789,40.7539199,-73.9811804,,clothes,the north face,POINT (-73.9811804 40.7539199),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
458,node,4913377710,40.7557513,-73.9858362,,clothes,H&M,POINT (-73.98583619999999 40.7557513),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
459,node,4915842122,40.7552952,-73.9855236,,clothes,Modell's Sporting Goods,POINT (-73.98552359999999 40.7552952),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
536,node,5371812658,40.7564652,-73.981334,New York,clothes,LS Mens Clothing,POINT (-73.981334 40.7564652),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
651,node,5638109021,40.7577938,-73.9906694,,clothes,Kaufman Army Navy,POINT (-73.9906694 40.7577938),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
730,node,5825512054,40.7560508,-73.9860803,,clothes,H&M,POINT (-73.9860803 40.7560508),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
794,node,5982230986,40.754007,-73.9816908,,clothes,Mets Clubhouse Shop,POINT (-73.9816908 40.754007),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
4,node,663099014,40.7494827,-73.9876565,,clothes,Gap,POINT (-73.9876565 40.7494827),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
5,node,663099091,40.7498689,-73.9873935,,clothes,Victoria's Secret,POINT (-73.9873935 40.7498689),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
6,node,663100566,40.7506751,-73.9904577,,clothes,H&M,POINT (-73.99045769999999 40.7506751),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
172,node,2711422075,40.749007,-73.9894016,,clothes,Aeropostale,POINT (-73.98940159999999 40.749007),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
173,node,2711422079,40.7487516,-73.9888481,,clothes,Afaze,POINT (-73.9888481 40.7487516),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
174,node,2711422086,40.7489117,-73.9891777,,clothes,City Streets,POINT (-73.9891777 40.7489117),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
175,node,2711422089,40.7492014,-73.9889236,,clothes,Express,POINT (-73.98892360000001 40.7492014),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
176,node,2711422104,40.7493481,-73.9892431,,clothes,Lids,POINT (-73.9892431 40.7493481),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
177,node,2711422106,40.749127,-73.989701,,clothes,P.S. by Aero,POINT (-73.989701 40.749127),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
178,node,2711422116,40.7494454,-73.9894897,,clothes,Strawberry,POINT (-73.98948969999999 40.7494454),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
179,node,2711422119,40.7494835,-73.9896784,,clothes,Strawberry,POINT (-73.9896784 40.7494835),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
180,node,2711422122,40.7493882,-73.9893538,,clothes,Top Gun Leather,POINT (-73.9893538 40.7493882),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
181,node,2711422128,40.749392,-73.9898746,,clothes,Victoria's Secret,POINT (-73.98987459999999 40.749392),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
