,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
87,node,1272606355,40.7421298,-73.9896098,,restaurant,Eataly
88,node,1272678894,40.6758313,-73.9807001,,restaurant,Mezcal's
89,node,1272678896,40.6757317,-73.981084,,restaurant,Shaking Crab
90,node,1273423778,40.7288346,-73.9921923,,restaurant,Colors Restaurant
91,node,1290043792,40.7580948,-73.9720223,New York,restaurant,Four Seasons
92,node,1292807648,40.7514625,-73.9784858,,restaurant,Grand Central Place
93,node,1293173596,40.7431603,-73.9775799,,restaurant,Marchi's
94,node,1294036914,40.773043,-73.955575,,restaurant,Hi-Life
95,node,1296858028,40.728621,-73.987443,,restaurant,Dallas BBQ
96,node,1297282199,40.7453859,-73.9827861,,restaurant,Chipotle
97,node,1297282225,40.7462142,-73.9822961,,restaurant,Pret A Manger
98,node,1297282239,40.7448937,-73.9826174,,restaurant,Dunkin' Donuts
99,node,1297282272,40.7449202,-73.9831434,,restaurant,Fresh Mexican Grill
100,node,1346386984,40.7552548,-73.9709515,New York,restaurant,Smith & Wollensky
101,node,1346386987,40.7479138,-73.9768461,,restaurant,El Rio Grande
102,node,1347055580,40.6744702,-73.9633157,,restaurant,Tom's Restaurant
103,node,1348884682,40.7363704,-73.8954454,Queens,restaurant,Elite Palace
104,node,1379410005,40.7277805,-73.9854304,New York,restaurant,Stromboli Pizza
105,node,1383909693,40.7663525,-73.9796288,,restaurant,Le Pain Quotidien
106,node,1383914860,40.7456818,-73.9881244,New York,restaurant,The Breslin
107,node,1383927735,40.7675881,-73.9831167,,restaurant,Blue Ribbon
108,node,1383928351,40.7677295,-73.9834926,,restaurant,Sushi Damo
109,node,1383955419,40.7653848,-73.980359,New York,restaurant,Lili's 57
110,node,1383956543,40.7656333,-73.9808702,New York,restaurant,Brooklyn Diner
111,node,1383956544,40.7654347,-73.9813709,,restaurant,Hooters
112,node,1383956764,40.7660154,-73.9794173,New York,restaurant,Petrossian
113,node,1396581104,40.7166141,-73.998003,,restaurant,Hoy Wong Restaurant
114,node,1416071255,40.8303395,-74.0897169,,restaurant,Chili's
115,node,1416071259,40.830997,-74.0838697,,restaurant,Mr G's
116,node,1416478552,40.7459042,-73.9803026,,restaurant,Murry Hill Diner
117,node,1419742050,40.9104971,-73.782328,,restaurant,Alvin & Friends
118,node,1419742051,40.9078051,-73.7835511,,restaurant,La Herruda
119,node,1419742719,40.914324,-73.7734231,,restaurant,Fratellii Pizzaria
120,node,1419742722,40.9148591,-73.7725433,,restaurant,Fratelli's
121,node,1419743463,40.9154753,-73.7714275,,restaurant,Spadaro's
122,node,1426311638,40.755628,-73.9875884,,restaurant,Red Lobster
123,node,1426342347,40.7589042,-73.7762046,,restaurant,Bayside Diner
124,node,1427212436,40.75218,-73.9795023,,restaurant,Madison & Vine
125,node,1427212491,40.7523353,-73.9793753,,restaurant,Pera
126,node,1427233358,40.7532708,-73.9773865,,restaurant,LA Fonda Del Sol
127,node,1427265072,40.7542362,-73.977239,,restaurant,ammos estiatorio
128,node,1427499791,40.7517125,-73.9799108,,restaurant,The Heavenly Burger
129,node,1427499833,40.7510771,-73.9807748,,restaurant,Salute
130,node,1428036492,40.7561557,-73.9776613,,restaurant,Connolly's
131,node,1487384169,40.7165512,-74.0093418,New York,restaurant,Ninja New York
132,node,1487407044,40.7208901,-74.0003925,,restaurant,L'Ecole Restaurant
133,node,1487441071,40.7434806,-74.0038344,New York,restaurant,Buddakan
134,node,1487449793,40.7563915,-73.9854253,New York,restaurant,Tony's
135,node,1487472478,40.7607113,-73.9807687,New York,restaurant,Capital Grille at Time-Life
136,node,1487569052,40.7640653,-73.9782577,,restaurant,Le Parker Meridien Burger
137,node,1491769944,40.6786532,-73.979114,,restaurant,Miti Miti
138,node,1493005667,40.7303084,-73.9830915,,restaurant,Balade
139,node,1493005669,40.7240812,-73.975958,,restaurant,Joselito
140,node,1497326724,40.7650339,-73.9793005,New York,restaurant,Russian Tea Room
141,node,1568008206,40.7615758,-73.9973446,New York,restaurant,Market Diner
142,node,1658397652,40.6719275,-73.9333003,,restaurant,Pizza Delivery
143,node,1663980307,40.7863885,-74.0459707,,restaurant,Red Lobster
144,node,1663980964,40.7875166,-74.0458387,,restaurant,Chipotle
145,node,1663981172,40.7867241,-74.0455946,,restaurant,Chili's
146,node,1667358508,40.8072019,-73.9535984,New York,restaurant,
147,node,1667359770,40.8069513,-73.9537515,,restaurant,Chocolat Restaurant Lounge
148,node,1667402832,40.8068012,-73.9534135,New York,restaurant,Bad Horse Pizza
149,node,1667412119,40.8022817,-73.9566859,,restaurant,Zoma
150,node,1667412535,40.8031019,-73.9566376,,restaurant,Melba's
151,node,1667413045,40.8020015,-73.9568468,,restaurant,5 & Diamond
152,node,1667418892,40.8061352,-73.9530327,,restaurant,Cedric
153,node,1667419712,40.8062286,-73.9532312,,restaurant,Billie's Black Bar & Lounge
154,node,1672042199,40.7141982,-74.0397395,,restaurant,Presto's
155,node,1672045901,40.7139461,-74.0397502,,restaurant,Amelia's Bistro
156,node,1672049578,40.7139379,-74.0381516,,restaurant,Light Horse Tavern
157,node,1673332219,40.7150349,-73.9982529,,restaurant,Vegetarian Dim Sum House
158,node,1683222646,40.7556257,-73.9280317,,restaurant,Café Triskell
159,node,1683225522,40.6729934,-73.9833638,Brooklyn,restaurant,Stone Park Cafe
160,node,1691452282,40.7340693,-74.0027914,New York,restaurant,Rivera Cafe & Sports Bar
161,node,1696974007,40.6836158,-73.9353429,,restaurant,Saragina's
162,node,1696974009,40.6829772,-73.9352383,,restaurant,Besos
163,node,1696985451,40.6836156,-73.935041,,restaurant,Ma and Pop
164,node,1696985456,40.6836865,-73.9350548,,restaurant,Ms. Sues
165,node,1697732307,40.7256143,-74.2361076,,restaurant,Crowns Chicken
166,node,1707825812,40.7537214,-73.995808,,restaurant,Uncle Jack's
167,node,1707825813,40.7542567,-73.9954338,,restaurant,Sergimmo Slumeria
168,node,1707825815,40.7544051,-73.9953252,,restaurant,Zoob Zib Aura Thai
169,node,1707825816,40.7533878,-73.9967808,,restaurant,Skylight Diner
170,node,1707825817,40.753864,-73.9956804,,restaurant,Hudson Station Bar and Grill
171,node,1707825820,40.7532964,-73.9966423,,restaurant,Golden City
172,node,1707825822,40.7543157,-73.9953869,,restaurant,Burgers and Cupcakes
173,node,1708709547,40.5429384,-74.2066129,,restaurant,Woodrow Diner
174,node,1708713022,40.5426,-74.2061865,,restaurant,Goodfella's Pizzeria
175,node,1708724065,40.5427713,-74.2078172,,restaurant,Sunset Pizza
176,node,1708725500,40.5427957,-74.2077287,,restaurant,Islander Taste Chinese Restaurant
177,node,1708727865,40.5429567,-74.2067497,,restaurant,Pio Hot Bagels
178,node,1714427541,40.7335053,-73.9990887,,restaurant,Neta
179,node,1727242104,40.8026607,-74.1702103,,restaurant,Antonio's Restaurant
180,node,1727242105,40.8015115,-74.1696095,,restaurant,The Chandelier
181,node,1727242109,40.8023805,-74.1695451,,restaurant,Three Guys Pizzeria
182,node,1727242116,40.8025876,-74.1701996,,restaurant,China Star
183,node,1740704818,40.8102592,-73.9437812,,restaurant,Jacob
184,node,1741221041,40.7025856,-73.993235,,restaurant,Grimaldi’s Pizza
185,node,1744432130,40.6874319,-73.9570385,,restaurant,Nice Pizza
186,node,1748961879,40.7897094,-73.9479452,,restaurant,Taco Mix
187,node,1748991480,40.7885716,-73.9487171,,restaurant,
188,node,1748991482,40.7906967,-73.9475573,,restaurant,
189,node,1748991484,40.7892539,-73.9486313,,restaurant,
190,node,1748991486,40.7905683,-73.9473015,,restaurant,
191,node,1748991487,40.7901312,-73.9475691,,restaurant,
192,node,1748991489,40.7887828,-73.9485669,,restaurant,
193,node,1749011035,40.7905956,-73.9476505,,restaurant,best lexington pizza
194,node,1749011039,40.7905186,-73.9477162,,restaurant,El Aguila
195,node,1749011050,40.7903505,-73.9475048,,restaurant,Great Wok
196,node,1749011125,40.7929111,-73.9501717,,restaurant,king dragon chinese restaurant
197,node,1749011126,40.7927893,-73.9477403,,restaurant,king dragon chinese restaurant
198,node,1753205377,40.756616,-73.9845926,,restaurant,The Lambs Club
199,node,1758217485,40.7604723,-73.9840506,New York,restaurant,The Playwright
200,node,1765445839,40.7456318,-73.9568079,Long Island City,restaurant,Skinny's Cantina
201,node,1768536221,40.7550138,-73.9705251,,restaurant,Pampano
202,node,1802294208,40.806007,-73.9656862,,restaurant,Mill Korean Restaurant
203,node,1802297281,40.8079479,-73.9643022,New York,restaurant,Shake Shack
204,node,1809517493,40.7921936,-73.9676915,New York,restaurant,Hunan Park
205,node,1821015959,40.7910705,-73.9747614,,restaurant,City Diner
206,node,1821015975,40.7870476,-73.9779596,New York,restaurant,5 Napkin Burger
207,node,1825739830,40.7297052,-74.0048523,New York,restaurant,Ayza Wine & Chocolate Bar
208,node,1825739837,40.7359346,-74.00617,New York,restaurant,Philip Marie
209,node,1825739861,40.730184,-74.0025384,New York,restaurant,Trattoria Spaghetto
210,node,1825848790,40.79932,-73.9687902,New York,restaurant,Aangan
211,node,1825848800,40.7970037,-73.969718,New York,restaurant,Indus Valley
212,node,1825848801,40.7982438,-73.968836,New York,restaurant,Mexican Festival
213,node,1825848802,40.7974417,-73.9701456,,restaurant,Metro Diner
214,node,1825848804,40.7975736,-73.9693077,New York,restaurant,Sura
215,node,1825848806,40.7955577,-73.9714879,New York,restaurant,Texas Rotisserie Grill
216,node,1827182547,40.6764532,-73.9592776,Brooklyn,restaurant,Neptune Diner II
217,node,1827772291,40.7138887,-73.980158,,restaurant,Wa Lung Kitchen
218,node,1827781718,40.714385,-73.9818347,,restaurant,El Castillo De Jagua
219,node,1827808977,40.7149321,-73.9826973,,restaurant,Zafis Luncheonette
220,node,1834885383,40.7972413,-73.9702783,New York,restaurant,Turkuaz
221,node,1843430248,40.7950362,-73.9699298,New York,restaurant,Malecon Restaurant
222,node,1843430256,40.7949241,-73.9700116,New York,restaurant,Ozen
223,node,1861646903,40.7242486,-74.0033107,,restaurant,Vin et Fleur
224,node,1865211626,40.7227848,-73.9478454,,restaurant,El Toro Taqueria
225,node,1867356492,40.8624129,-73.925052,,restaurant,Pizza Palace
226,node,1873813860,40.7600931,-73.9911538,New York,restaurant,Five Napkin Burger
227,node,1873813883,40.7598902,-73.9917945,New York,restaurant,L'Allegria Pizza Restaurant
228,node,1873813912,40.7588415,-73.993163,,restaurant,Ollie's
229,node,1883462420,40.7233368,-74.0038205,,restaurant,RSVP
230,node,1883739637,40.7376087,-73.991158,New York,restaurant,Laut
231,node,1884473154,40.7182306,-73.9917863,New York,restaurant,Vanessa's Dumpling House
232,node,1887418646,40.7162315,-74.0446403,,restaurant,Taqueria
233,node,1887434635,40.7249319,-74.0457092,,restaurant,Rustique
234,node,1887456797,40.7213176,-74.0425991,,restaurant,Park and Sixth
235,node,1888172061,40.7808586,-73.9765071,,restaurant,Shake Shack
236,node,1888225629,40.7809719,-73.9764333,,restaurant,Cafe Frida
237,node,1898150087,40.5850967,-73.8177835,,restaurant,Rockaway Taco
238,node,1899033658,40.7211598,-73.9966849,,restaurant,Toby's Public House
239,node,1901034052,40.7751463,-73.9568621,New York,restaurant,Tiramisu
240,node,1907729885,40.712472,-73.9647679,Brooklyn,restaurant,Cariño
241,node,1907729889,40.7121797,-73.9662152,,restaurant,Mi Favela
242,node,1907729890,40.7124975,-73.9642787,,restaurant,South Port
