index_left,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry
70,way,446152545,40.7699276,-74.184606,,,Newark Schools Stadium,POINT (-74.184606 40.7699276)
71,way,468605078,40.7505057,-73.9934597,,,Madison Square Garden,POINT (-73.9934597 40.7505057)
72,way,581919288,40.7885545,-74.0192685,,,Miller Stadium,POINT (-74.0192685 40.7885545)
73,way,594338725,40.715321,-73.9576947,,,,POINT (-73.9576947 40.715321)
74,way,618206136,40.7336416,-74.1710854,,,,POINT (-74.1710854 40.7336416)
75,way,618742637,40.7509671,-73.8455428,,,Louis Armstrong Stadium,POINT (-73.8455428 40.7509671)
76,relation,3481739,40.7368632,-74.1502531,,,Red Bull Arena,POINT (-74.1502531 40.7368632)
77,relation,3481745,40.7460756,-74.1687998,,,Bears and Eagles Riverfront Stadium,POINT (-74.1687998 40.7460756)
78,relation,3677903,40.8727818,-73.916126,,,,POINT (-73.91612600000001 40.8727818)
79,relation,3687244,40.7491552,-73.8445555,,,,POINT (-73.8445555 40.7491552)
80,relation,7092903,40.7498813,-73.8470465,,,Arthur Ashe Stadium,POINT (-73.8470465 40.7498813)
81,relation,8610205,40.6825657,-73.9753452,Brooklyn,,Barclays Center,POINT (-73.97534520000001 40.6825657)
