,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
51,node,2846621602,40.7557985,-73.9232207,,,Life Health & Fitness,POINT (-73.9232207 40.7557985),76,11101,0,Long Island City,26254.0,78962088.741757,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
66,node,3865095757,40.74224,-73.933849,,,Extreme Sports,POINT (-73.933849 40.74224),76,11101,0,Long Island City,26254.0,78962088.741757,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
76,node,4446116266,40.7525859,-73.9401946,Long Island City,,Brooklyn Boulders Queensbridge,POINT (-73.9401946 40.7525859),76,11101,0,Long Island City,26254.0,78962088.741757,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
27,node,2020487653,40.7361264,-73.9756907,,,Asser Levy,POINT (-73.9756907 40.7361264),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
75,node,4429416441,40.7433807,-73.9915176,New York,,Studio Anya,POINT (-73.99151759999999 40.7433807),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
77,node,4446150427,40.7409495,-73.9936764,New York,,The Monster Cycle,POINT (-73.9936764 40.7409495),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
78,node,4466933324,40.7417781,-73.9907438,New York,,Uplift Studio,POINT (-73.9907438 40.7417781),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
29,node,2043309113,40.7643261,-73.9154713,Queens,,NYSC,POINT (-73.91547129999999 40.7643261),71,11103,0,Astoria,38234.0,20222394.6255259,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
34,node,2259025498,40.7643544,-73.9115969,,,Astoria Dance Center,POINT (-73.91159690000001 40.7643544),71,11103,0,Astoria,38234.0,20222394.6255259,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
30,node,2185003524,40.5895618,-73.8987658,,,Aviator Sports,POINT (-73.89876580000001 40.5895618),132,11234,0,Brooklyn,85853.0,206201040.087973,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
