,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
71,node,4194007173,40.6823351,-73.9960907,Brooklyn,,Body Elite,POINT (-73.9960907 40.6823351),118,11231,0,Brooklyn,33144.0,39379691.7940637,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
72,node,4317415001,40.710436,-73.9666811,Brooklyn,,Crossfit Outbreak,POINT (-73.9666811 40.710436),260,11249,0,Brooklyn,28481.0,17772206.1701202,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
73,node,4317415002,40.711316,-73.9659017,Brooklyn,,Soma Williamsburg,POINT (-73.9659017 40.711316),260,11249,0,Brooklyn,28481.0,17772206.1701202,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
91,node,5910361056,40.7221792,-73.9553928,Brooklyn,,Northside Lifting Club,POINT (-73.9553928 40.7221792),260,11249,0,Brooklyn,28481.0,17772206.1701202,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
74,node,4408737750,40.7073709,-74.0108202,New York,,Equinox Wall Street,POINT (-74.0108202 40.7073709),104,10005,0,New York,8107.0,2082901.14073505,NY,New York,36,061,http://www.usps.com/,0.0,0.0
83,node,4685779446,40.7284133,-74.0130056,,,P3 Batting Cage,POINT (-74.0130056 40.7284133),89,10014,0,New York,31328.0,14151052.0304172,NY,New York,36,061,http://www.usps.com/,0.0,0.0
85,node,5178740949,40.7640882,-73.8262727,Flushing,,Flushing YMCA,POINT (-73.8262727 40.7640882),63,11354,0,Flushing,58525.0,61985147.4508045,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
205,way,533867047,40.7639059,-73.8263789,Flushing,,Flushing YMCA,POINT (-73.82637889999999 40.7639059),63,11354,0,Flushing,58525.0,61985147.4508045,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
88,node,5607297102,40.7867888,-73.950455,,,Steep Rock Bouldering,POINT (-73.95045500000001 40.7867888),53,10029,0,New York,77503.0,22963435.6769661,NY,New York,36,061,http://www.usps.com/,0.0,0.0
96,node,5910474549,40.724843,-74.0021971,,,Riverside Weightlifting,POINT (-74.0021971 40.724843),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
97,node,5910583822,40.67765,-73.9567766,,,Murder of Crows Weightlifting Club,POINT (-73.9567766 40.67765),117,11238,0,Brooklyn,46664.0,29429423.4614794,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
98,node,5910583823,40.7539234,-73.9930307,,,New York City Barbell,POINT (-73.99303070000001 40.7539234),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
99,node,5910620573,40.7175381,-73.9925679,,,JDI Barbell Club,POINT (-73.9925679 40.7175381),92,10002,0,New York,81305.0,26280128.5438885,NY,New York,36,061,http://www.usps.com/,0.0,0.0
105,way,26615871,40.7899194,-73.9620589,,,Central Park Tennis Center,POINT (-73.9620589 40.7899194),54,00083,0,Central Park,25.0,38300990.399943,NY,New York,36,061,http://www.usps.com/,0.0,0.0
119,way,118729387,40.7912179,-73.9595269,New York,,North Meadow Recreation Center,POINT (-73.9595269 40.7912179),54,00083,0,Central Park,25.0,38300990.399943,NY,New York,36,061,http://www.usps.com/,0.0,0.0
120,way,118729390,40.7964486,-73.954526,,,Loula D. Lasker Memorial Pool and Rink,POINT (-73.954526 40.7964486),54,00083,0,Central Park,25.0,38300990.399943,NY,New York,36,061,http://www.usps.com/,0.0,0.0
107,way,34901727,40.5924066,-74.1524282,,,Island Swim Club,POINT (-74.1524282 40.5924066),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
