,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
169,way,284882422,40.7563489,-73.954877,,,Roosevelt Island Sportspark
170,way,288084735,40.8348823,-74.1891921,,,
171,way,292121905,40.7391976,-74.1797046,,,Physical Education Building
172,way,306060661,40.6529,-74.245727,,,
173,way,306588159,40.7127319,-73.8970137,,,Hugo's Tae Kwon Do
174,way,312847981,40.8583063,-74.2003209,,,Panzer Athletic Center
175,way,313029984,40.86558,-74.19458,,,Student Recreation Center
176,way,321939832,40.9267945,-74.2699578,Wayne,,Turf City Indoor Sports Center
177,way,328275185,40.69956,-73.9988144,,,
178,way,339445461,40.7521403,-74.1811485,,,Branch Brook Park Roller Skating Center
179,way,342145079,40.8218549,-73.9747124,,,Fitnesscenter
180,way,344329685,40.6209516,-74.2881936,,,
181,way,354417640,40.7277229,-74.0731489,,,
182,way,354423277,40.7148621,-74.0612981,,,
183,way,359203327,40.7994202,-74.0477141,,,
184,way,373350945,40.7900384,-73.7850366,,,
185,way,375990339,40.7455937,-74.042953,,,
186,way,379428484,40.9144461,-74.1701069,Paterson,,YMCA of Paterson
187,way,379477706,40.9246426,-74.1743695,,,Boys & Girls Club of Paterson
188,way,379961749,40.9042274,-74.1697822,,,Body Worx Hardcore Gym
189,way,403726507,40.9109653,-73.9965503,,,Soccer Coliseum at Teaneck Armory
190,way,403754099,40.7415,-74.2451916,,,Richie Regan Recreation and Athletic Center
191,way,404419156,40.7317877,-73.7298258,,,Padavan-Preller Fields
192,way,405049889,40.7482959,-74.0022198,,,Chelsea Recreation Center
193,way,413886376,40.7198523,-73.8485957,,,West Side Tennis Club
194,way,419968836,40.8900872,-73.8962712,,,
195,way,438549565,40.7264095,-74.1422992,,,Ironbound Recreation Center
196,way,441781790,40.8396471,-73.7147717,,,
197,way,451675564,40.6458623,-73.737595,,,
198,way,454001264,40.8175552,-74.2104451,,,Sports Domain Academy
199,way,474954104,40.8705045,-74.1792622,,,
200,way,479586560,40.7973414,-74.2020457,,,Glen Ridge Community Pool
201,way,479809306,40.8148619,-74.1359909,,,Fitness Area
202,way,487586641,40.9179402,-73.8642846,,,Yonkers Raceway
203,way,526596636,40.8067546,-73.7459733,,,Parkwood Indoor Tennis
204,way,531024255,40.7806668,-73.7784964,,,
205,way,533867047,40.7639059,-73.8263789,Flushing,,Flushing YMCA
206,way,550702942,40.9322176,-74.2672259,Wayne,,
207,way,554959290,40.6610552,-73.9357691,,,Old Boys High Field
208,way,560199702,40.9204593,-74.2468066,Wayne,,
209,way,569543884,40.9313428,-74.2118043,Wayne,,
210,way,608405601,40.8897616,-74.0393764,,,YMCA Of Greater Bergen County
211,way,613196590,40.7774165,-73.734763,,,
212,way,613207287,40.7818799,-73.7228419,,,
213,way,613207300,40.7792572,-73.7174105,,,
214,way,613207318,40.7674938,-73.7185365,,,
215,way,613607540,40.8052872,-73.7437003,,,
216,way,613613768,40.7972137,-73.7521561,,,
