,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
75,way,618742637,40.7509671,-73.8455428,,,Louis Armstrong Stadium,POINT (-73.8455428 40.7509671),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
79,relation,3687244,40.7491552,-73.8445555,,,,POINT (-73.8445555 40.7491552),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
80,relation,7092903,40.7498813,-73.8470465,,,Arthur Ashe Stadium,POINT (-73.8470465 40.7498813),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
41,way,266063817,40.5743399,-73.9840782,,,MCU Park,POINT (-73.9840782 40.5743399),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
66,way,405885395,40.574258,-73.9748438,,,Aquatheater,POINT (-73.9748438 40.574258),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
53,way,284912574,40.899369,-73.8667449,,,,POINT (-73.8667449 40.899369),11,10470,0,Bronx,14740.0,21543461.581388,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
54,way,285037788,40.8491062,-73.8229661,,,,POINT (-73.8229661 40.8491062),26,10465,0,Bronx,42012.0,108423743.438241,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
55,way,285058167,40.8193243,-73.8688723,,,,POINT (-73.86887230000001 40.8193243),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
56,way,285063529,40.8225245,-73.8627552,,,,POINT (-73.8627552 40.8225245),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
57,way,285071343,40.7806219,-73.9153469,,,,POINT (-73.9153469 40.7806219),58,11105,0,Astoria,36906.0,48795608.0799341,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
58,way,285118335,40.8285015,-73.8689868,,,,POINT (-73.8689868 40.8285015),35,10472,0,Bronx,66356.0,30963245.1883283,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
59,way,285135386,40.8401178,-73.8403838,,,,POINT (-73.8403838 40.8401178),29,10461,0,Bronx,50549.0,62824057.5745278,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
60,way,285142948,40.8408012,-73.844689,,,,POINT (-73.844689 40.8408012),29,10461,0,Bronx,50549.0,62824057.5745278,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
67,way,415430837,40.7199243,-73.8580109,,,,POINT (-73.8580109 40.7199243),167,11374,0,Rego Park,42755.0,25203558.5810222,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
73,way,594338725,40.715321,-73.9576947,,,,POINT (-73.9576947 40.715321),200,11211,0,Brooklyn,60861.0,40470881.6712834,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
78,relation,3677903,40.8727818,-73.916126,,,,POINT (-73.91612600000001 40.8727818),21,10034,0,New York,39149.0,24503892.1220115,NY,New York,36,061,http://www.usps.com/,0.0,0.0
81,relation,8610205,40.6825657,-73.9753452,Brooklyn,,Barclays Center,POINT (-73.97534520000001 40.6825657),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
