index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
61,node,1669534157,40.7743961,-73.9825581,New York,clothes,Zara,POINT (-73.98255810000001 40.7743961)
62,node,1697755054,40.7260644,-74.2327604,,clothes,Family Dollar,POINT (-74.2327604 40.7260644)
63,node,1865211622,40.7227019,-73.9486177,Brooklyn,clothes,Caribou Baby,POINT (-73.9486177 40.7227019)
64,node,1899033649,40.7213106,-73.9966185,,clothes,Paul Frank Store,POINT (-73.9966185 40.7213106)
65,node,1979669266,40.7245553,-73.9959859,,clothes,Benetton,POINT (-73.99598589999999 40.7245553)
66,node,1979669272,40.7139965,-73.9602935,,clothes,Bird,POINT (-73.96029350000001 40.7139965)
67,node,2041169440,40.8732378,-73.9087363,,clothes,Marshalls,POINT (-73.9087363 40.8732378)
68,node,2041169450,40.8734602,-73.9079897,,clothes,The Childrens Place,POINT (-73.9079897 40.8734602)
69,node,2045635523,40.7391221,-73.9899925,New York,clothes,Brooks Brothers,POINT (-73.9899925 40.7391221)
70,node,2091641952,40.7963714,-73.9702087,,clothes,Brooklyn Industries,POINT (-73.9702087 40.7963714)
71,node,2159762088,40.5083876,-74.2666531,,clothes,Margarita's Clothing Warehouse Outlet,POINT (-74.2666531 40.5083876)
72,node,2159762428,40.5083223,-74.2663956,,clothes,Dress Express,POINT (-74.2663956 40.5083223)
73,node,2159772849,40.5082032,-74.2673847,,clothes,Kids City,POINT (-74.26738469999999 40.5082032)
74,node,2159773832,40.508284,-74.2675182,,clothes,Pretty Girl,POINT (-74.2675182 40.508284)
75,node,2159782724,40.508496,-74.2669603,,clothes,Bargain Man,POINT (-74.26696029999999 40.508496)
76,node,2183010454,40.7059955,-74.0111464,,clothes,Indochino,POINT (-74.0111464 40.7059955)
77,node,2183010466,40.7064078,-74.010896,,clothes,Hermes Paris,POINT (-74.010896 40.7064078)
78,node,2183010477,40.7062677,-74.0114417,,clothes,My.Suit,POINT (-74.01144170000001 40.7062677)
79,node,2187916505,40.7142539,-73.9603806,,clothes,Le Grand Strip,POINT (-73.96038059999999 40.7142539)
80,node,2196783231,40.789196,-73.9761486,New York,clothes,Brooks Brothers,POINT (-73.9761486 40.789196)
81,node,2196783232,40.7887124,-73.9757412,New York,clothes,Club Monaco,POINT (-73.9757412 40.7887124)
82,node,2238282051,40.7792448,-73.9601917,,clothes,Gymboree,POINT (-73.9601917 40.7792448)
83,node,2268954021,40.7297112,-73.9581926,,clothes,In God We Trust,POINT (-73.9581926 40.7297112)
84,node,2268954141,40.7296848,-73.9574215,,clothes,Alter,POINT (-73.9574215 40.7296848)
85,node,2275473042,40.7311503,-73.9576694,,clothes,Raised By Wolves,POINT (-73.9576694 40.7311503)
86,node,2275474824,40.7301625,-73.9575111,,clothes,Dalaga,POINT (-73.9575111 40.7301625)
87,node,2275977894,40.7593322,-73.9917156,,clothes,American Apparel,POINT (-73.99171560000001 40.7593322)
88,node,2279563305,40.7348213,-73.9914286,,clothes,Forever 21,POINT (-73.99142860000001 40.7348213)
89,node,2287666019,40.6092891,-73.9586454,,clothes,TJ Maxx,POINT (-73.95864539999999 40.6092891)
90,node,2302679639,40.5997561,-73.9463899,,clothes,Downtown,POINT (-73.9463899 40.5997561)
91,node,2309556620,40.7741291,-73.9634951,New York,clothes,Il Gufo,POINT (-73.9634951 40.7741291)
92,node,2321673301,40.5933317,-74.0012109,,clothes,Babies R Us,POINT (-74.0012109 40.5933317)
93,node,2322298893,40.6949579,-73.9943783,Brooklyn,clothes,Loft,POINT (-73.99437829999999 40.6949579)
94,node,2328223913,40.7390507,-73.9958355,,clothes,Dave's,POINT (-73.9958355 40.7390507)
95,node,2345795301,40.7885846,-73.9766713,New York,clothes,Banana Republic,POINT (-73.97667130000001 40.7885846)
96,node,2377128138,40.7416558,-74.0014092,,clothes,Camouflage,POINT (-74.0014092 40.7416558)
97,node,2385678944,40.8878011,-74.2589359,Wayne,clothes,Old Navy,POINT (-74.2589359 40.8878011)
98,node,2385911373,40.9161695,-74.077013,,clothes,Forever 21,POINT (-74.07701299999999 40.9161695)
99,node,2385911448,40.9177741,-74.0777069,,clothes,Neiman Marcus,POINT (-74.0777069 40.9177741)
100,node,2385911625,40.9198544,-74.0755457,,clothes,Nordstrom,POINT (-74.07554570000001 40.9198544)
101,node,2385911667,40.9193452,-74.0773906,,clothes,Lord & Taylor,POINT (-74.0773906 40.9193452)
102,node,2439964743,40.7839036,-73.9742211,,clothes,Greenstones,POINT (-73.97422109999999 40.7839036)
103,node,2459993325,40.7387516,-73.9918721,,clothes,Express,POINT (-73.99187209999999 40.7387516)
104,node,2459993336,40.7385911,-73.9914858,,clothes,H&M,POINT (-73.99148580000001 40.7385911)
105,node,2476853871,40.8978065,-74.2391057,,clothes,Marshalls,POINT (-74.2391057 40.8978065)
106,node,2476854043,40.8955997,-74.231857,,clothes,Avenue,POINT (-74.23185700000001 40.8955997)
107,node,2476854085,40.8935311,-74.2313047,,clothes,Men's Wearhouse,POINT (-74.2313047 40.8935311)
108,node,2478897579,40.7395921,-73.9949579,,clothes,Old Navy,POINT (-73.9949579 40.7395921)
109,node,2494077220,40.6949872,-73.9960982,,clothes,J. McLaughlin,POINT (-73.99609820000001 40.6949872)
110,node,2494203003,40.6920814,-73.991377,,clothes,Eyvette Boutique,POINT (-73.991377 40.6920814)
111,node,2494224921,40.6389182,-74.0759622,,clothes,Everything goes clothing,POINT (-74.07596220000001 40.6389182)
112,node,2501565260,40.7603559,-73.9762428,New York,clothes,Uniqlo,POINT (-73.97624279999999 40.7603559)
113,node,2501569532,40.7427568,-73.9931885,,clothes,Burlington Coat Factory,POINT (-73.9931885 40.7427568)
